finding_id	test_name	observed_z_or_p	bonferroni_k	rules_tuple_summary	baseline_corpus	verdict	mw_compliance	parent_finding_id	classical_anchor
HONEST-LIMITS-§5 / 147-triple	147-triple (ghayr/ilah/janna)	16997 tied pairs (Quran); 10860-13177 (prose)	83	LEM,HK	matched-corpus	REFUTED (pigeonhole)	MW-5+	word-pair-symmetry	modern
HONEST-LIMITS-§6 / razi-99names	al-Razi muqattaat=99 divine-names theory	naive p=0.000593; proper subset-null p=0.139	10^5 (subset null)	LEM,HK	proper subset null	REFUTED	MW-5+ MW-6+	razi-99names	al-Razi Mafatih (classical-hypothesis REFUTED) [SECONDARY-TRIANGULATED]
HONEST-LIMITS-§7 / zipf-meccan	Per-surah Zipf α heterogeneity predicts Meccan	ρ(α,len)=+0.962 (length-determined); REVERSE direction	1	LEM	within-corpus	REFUTED (length-artifact)	MW-1+	zipf-per-surah	chronological-revelation
HONEST-LIMITS-§8 / meccan-saj-denser	Meccan saj' density vs Medinan (folk wisdom)	p>0.3 all metrics	10000 label-perm	NT,GR	label-permutation	REFUTED	MW-5+	saj-rhyme-analysis	classical folk wisdom
HONEST-LIMITS-§9 / khalifa-zipf	Khalifa aggregate Zipf α=0.97 distinctiveness	Quran 0.97 vs prose 0.94-1.07	multi4	LEM/OT	cross-textual	NULL (not distinctive)	MW-5+	cross-textual-baseline	Khalifa
# ============================================================================
# SECTION 6: iʿjāz ʿilmī (all REFUTED per H-META-1 scientific-foreknowledge 0/6)
# ============================================================================
HONEST-LIMITS-II.10 / embryology	Q 23:12-14 embryology stages	traced to Galen (pre-Islamic Syriac transmission)	12 (iʿjaz family)	N/A	philological	PRE-EXISTING-KNOWLEDGE	MW-6+	embryology	Bucaille 1976 (modern-apologetic, 0%)
HONEST-LIMITS-II.11 / iron-sent-down	Q 57:25 iron meteoritic	anzala is generic ("sent down"); Fe-57 cherry-pick	12	N/A	philological	APOLOGETIC-OVERREACH	MW-6+	hadid-deep-dive	Bucaille/Naggar
HONEST-LIMITS-II.12 / big-bang	Q 21:30 ratq/fatq Big Bang	Near-Eastern cosmogonic-split motif (Gen 1, Enuma Elish, Hesiod)	12	N/A	philological	APOLOGETIC-OVERREACH	MW-6+	cosmology-audit	Bucaille
HONEST-LIMITS-II.13 / fingerprints	Q 75:4 banana fingerprints unique	s-w-y root = "proportion" not "make unique"	12	N/A	philological	AMBIGUOUS→OVERREACH	MW-6+	—	Bucaille
HONEST-LIMITS-II.14 / mountain-pegs	Q 78:7 mountains as awtad	pan-Near-Eastern tent-peg metaphor; geologically wrong at face	12	N/A	philological	PRE-EXISTING+WRONG	MW-6+	earth-sciences-audit	Naggar
HONEST-LIMITS-II.15 / expanding-universe	Q 51:47 musi'un expanding universe	awsaʿa = "generous/abundant"; classical tafsir gives "breadth"	12	N/A	philological	AMBIGUOUS	MW-6+	—	Bucaille
HONEST-LIMITS-II.16 / sun-orbit	Q 36:38 sun orbit galactic center	mustaqarr = any astronomical settling (Ptolemy-compatible)	12	N/A	philological	PRE-EXISTING-KNOWLEDGE	MW-6+	—	Bucaille
HONEST-LIMITS-II.17 / two-seas	Q 25:53/55:19-20 two seas not mixing	halocline observable to any sailor; Mediterranean folklore	12	N/A	philological	PRE-EXISTING-OBSERVATIONAL	MW-6+	—	—
HONEST-LIMITS-II.18 / deep-sea-darkness	Q 24:40 deep-sea darkness	literary simile; storm imagery topos in pre-Islamic poetry	12	N/A	philological	PRE-EXISTING+SIMILE	MW-6+	—	—
HONEST-LIMITS-II.19 / atom-dharra	Q 99:7-8 dharra atom	dharra = dust mote/red ant in pre-Islamic poetry	12	N/A	philological	APOLOGETIC-OVERREACH	MW-6+	—	—
HONEST-LIMITS-II.20 / milk-formation	Q 16:66 milk between blood and excretion	observable slaughter (Pliny, Aristotle)	12	N/A	philological	PRE-EXISTING-OBSERVATIONAL	MW-6+	—	—
HONEST-LIMITS-II.21 / pharaoh-body	Q 10:92 Pharaoh preserved body	any mummified Pharaoh satisfies	12	N/A	philological	AMBIGUOUS	MW-6+	—	—
# ============================================================================
# OUTLIER NOTES — sorted (top-of-file) highlights
# ============================================================================
# Top-end outliers (|z| >= 15):
#   - H-NEW-20 face-value z=+30.76 (SUPERSEDED by MW-1 strict z=+9.57)
#   - H-NEW-29.a reverse z=+94.89 (pre-reg broken operationalization, NOT a signal; MW-6 failure)
#   - iltifat-block H_B z≈-77 (structured-block signal, 100% surahs)
#   - H-NEW-34.1 Jahiz stratified m=19 z=+27.15 (MECHANISM-INCONSISTENT, routing §3d→§4)
#   - H-NEW-34a rhyme-pooling m=11 z=+26.62 (refutes H-NEW-34 pigeonhole, over-disperse)
#   - al-Razi adjacent IV-weighted z=+22.78 (MW-1 liberal, 12× Bon k=5)
#   - H-NEW-35 vs Bukhari Fisher z=+19.46 (Bukhari outlier, not Quran)
#   - Ar-Rahman compression z=-17.77 (strongest compression outlier)
#   - RQA determinism z=+15.09 / laminarity z=+14.66 (saj' formalization)
#   - H-NEW-29 pooled z=-14.79 (comparative CV, al-Jahiz takrar maqbul)
#   - Ash-Shuʿara compression z=-13.34
#   - H-NEW-35 primary ρ(1) z=+13.13
#
# Reverse-direction outliers (Quran LESS ornate/MORE regular):
#   - H-NEW-16 z=-6.38 (less palindromic)
#   - H-NEW-29 z=-14.79 (more regular root-repetition)
#   - H-NEW-34 z=-4.28 to -11.36 (more uniform abjad residues; but see H-NEW-34.1 routing)
#   - counterfactual-fragility z=-4.86 (less fragile than pooled prose)
#
# Notable zero-outliers (null as headline):
#   - T5 TDA all 4 bottleneck distances inside 90%tile (Quran semantic manifold = prose)
#   - T3 primary τ=+0.015 (canonical order unrecoverable)
#   - H-NEW-35 vs Jahiz Fisher z=-0.67 (al-Sakkaki īqāʿ demoted)
#   - H-NEW-13 spectrum in-band (letter-bigram NOT distinctive)
#   - H-NEW-22 acrostic NULL
#
# H-META-1 regime prediction (78% CV):
#   - structural-formal (72% CONFIRMED): confirmed cluster above
#   - numerical-gematric (32% CONFIRMED): H-NEW-34 NULL-primary, Khalifa ALM 0/29 for 19, rahma=114 REFUTED
#   - scientific-foreknowledge (0/6 CONFIRMED): all 12 iʿjaz ʿilmī in §6 REFUTED as expected
