rank,buckwalter,arabic,count
1158,jrz,جرز,2
1159,rqd,رقد,2
1160,$wy,شوي,2
1161,Hff,حفف,2
1162,zlq,زلق,2
1163,h$m,هشم,2
1164,gdr,غدر,2
1165,EDd,عضد,2
1166,wbq,وبق,2
1167,Hqb,حقب,2
1168,gTw,غطو,2
1169,jny,جني,2
1170,Azz,ازز,2
1171,Arb,ارب,2
1172,Dmm,ضمم,2
1173,Azr,ازر,2
1174,qwE,قوع,2
1175,hDm,هضم,2
1176,xmd,خمد,2
1177,xrdl,خردل,2
1178,nf$,نفش,2
1179,gwS,غوص,2
1180,Shr,صهر,2
1181,Etq,عتق,2
1182,sHq,سحق,2
1183,Err,عرر,2
1184,ETl,عطل,2
1185,*bb,ذبب,2
1186,gvw,غثو,2
1187,nkb,نكب,2
1188,Ebv,عبث,2
1189,zjj,زجج,2
1190,wdq,ودق,2
1191,hbw,هبو,2
1192,rss,رسس,2
1193,mlH,ملح,2
1194,xDE,خضع,2
1195,qly,قلي,2
1196,hym,هيم,2
1197,Hjz,حجز,2
1198,kbb,كبب,2
1199,$TA,شطا,2
1200,srmd,سرمد,2
1201,Enkb,عنكب,2
1202,rwD,روض,2
1203,xdd,خدد,2
1204,sbg,سبغ,2
1205,Hnjr,حنجر,2
1206,wTr,وطر,2
1207,lgb,لغب,2
1208,$gl,شغل,2
1209,rmm,رمم,2
1210,vqb,ثقب,2
1211,nzf,نزف,2
1212,sqm,سقم,2
1213,Hnv,حنث,2
1214,qHm,قحم,2
1215,hyj,هيج,2
1216,zmr,زمر,2
1217,dxn,دخن,2
1218,qyD,قيض,2
1219,kmm,كمم,2
1220,brm,برم,2
1221,gly,غلي,2
1222,Etl,عتل,2
1223,dhr,دهر,2
1224,Eyy,عيي,2
1225,Dgn,ضغن,2
1226,mHn,محن,2
1227,$Eb,شعب,2
1228,shw,سهو,2
1229,khn,كهن,2
1230,A$r,اشر,2
1231,jll,جلل,2
1232,Tmv,طمث,2
1233,rjj,رجج,2
1234,bss,بسس,2
1235,wjf,وجف,2
1236,qTf,قطف,2
1237,Ehn,عهن,2
1238,HTb,حطب,2
1239,lbd,لبد,2
1240,btl,بتل,2
1241,bsr,بسر,2
1242,n$T,نشط,2
1243,xns,خنس,2
1244,bEvr,بعثر,2
1245,kdH,كدح,2
1246,wsq,وسق,2
1247,fkk,فكك,2
1248,rbH,ربح,1
1249,bql,بقل,1
1250,qvA,قثا,1
1251,fwm,فوم,1
1252,Eds,عدس,1
1253,bSl,بصل,1
1254,fqE,فقع,1
1255,w$y,وشي,1
1256,nEq,نعق,1
1257,wsn,وسن,1
1258,Awd,اود,1
1259,fSm,فصم,1
1260,snh,سنه,1
1261,Sld,صلد,1
1262,Tll,طلل,1
1263,gmD,غمض,1
1264,lHf,لحف,1
1265,xbT,خبط,1
1266,rmz,رمز,1
1267,*xr,ذخر,1
1268,bhl,بهل,1
1269,dnr,دنر,1
1270,gzw,غزو,1
1271,fZZ,فظظ,1
1272,Hwb,حوب,1
1273,Ewl,عول,1
1274,bdr,بدر,1
1275,fDw,فضو,1
1276,jbt,جبت,1
1277,nDj,نضج,1
1278,vby,ثبي,1
1279,bTA,بطا,1
1280,*yE,ذيع,1
1281,nbT,نبط,1
1282,rgm,رغم,1
1283,btk,بتك,1
1284,*b*b,ذبذب,1
1285,xnq,خنق,1
1286,wq*,وقذ,1
1287,nTH,نطح,1
1288,*kw,ذكو,1
1289,tyh,تيه,1
1290,bHv,بحث,1
1291,nfy,نفي,1
1292,nhj,نهج,1
1293,qss,قسس,1
1294,rmH,رمح,1
1295,syb,سيب,1
1296,Hyr,حير,1
1297,nwy,نوي,1
1298,qnw,قنو,1
1299,ynE,ينع,1
1300,DAn,ضان,1
1301,mEz,معز,1
1302,$Hm,شحم,1
1303,*Am,ذام,1
1304,ry$,ريش,1
1305,Hvv,حثث,1
1306,nkd,نكد,1
1307,shl,سهل,1
1308,qml,قمل,1
1309,DfdE,ضفدع,1
1310,jrr,جرر,1
1311,$mt,شمت,1
1312,skt,سكت,1
1313,bjs,بجس,1
1314,ntq,نتق,1
1315,Smt,صمت,1
1316,$wk,شوك,1
1317,zHf,زحف,1
1318,Hwz,حوز,1
1319,mkw,مكو,1
1320,$rd,شرد,1
1321,ksd,كسد,1
1322,wTn,وطن,1
1323,njs,نجس,1
1324,DhA,ضها,1
1325,kwy,كوي,1
1326,jbh,جبه,1
1327,vbT,ثبط,1
1328,jmH,جمح,1
1329,jrf,جرف,1
1330,zry,زري,1
1331,blE,بلع,1
1332,qlE,قلع,1
1333,Hn*,حنذ,1
1334,rwE,روع,1
1335,TrH,طرح,1
1336,rtE,رتع,1
1337,drhm,درهم,1
1338,zhd,زهد,1
1339,glq,غلق,1
1340,hyt,هيت,1
1341,$gf,شغف,1
1342,xbz,خبز,1
1343,HSHS,حصحص,1
1344,myr,مير,1
1345,SwE,صوع,1
1346,ftA,فتا,1
1347,vrb,ثرب,1
1348,fnd,فند,1
1349,mHl,محل,1
1350,jfA,جفا,1
1351,jrE,جرع,1
1352,rmd,رمد,1
1353,frE,فرع,1
1354,jvv,جثث,1
1355,lqH,لقح,1
1356,fDH,فضح,1
1357,EDw,عضو,1
1358,dfA,دفا,1
1359,bgl,بغل,1
1360,dss,دسس,1
1361,frv,فرث,1
1362,Hfd,حفد,1
1363,jww,جوو,1
1364,ZEn,ظعن,1
1365,Swf,صوف,1
1366,wbr,وبر,1
1367,wkd,وكد,1
1368,gzl,غزل,1
1369,jws,جوس,1
1370,ngD,نغض,1
1371,Hnk,حنك,1
1372,wfr,وفر,1
1373,qSf,قصف,1
1374,dlk,دلك,1
1375,hjd,هجد,1
1376,xbw,خبو,1
1377,fjw,فجو,1
1378,yqZ,يقظ,1
1379,srdq,سردق,1
1380,byd,بيد,1
1381,wAl,وال,1
1382,qDD,قضض,1
1383,Eyb,عيب,1
1384,gSb,غصب,1
1385,rdm,ردم,1
1386,$El,شعل,1
1387,Hnn,حنن,1
1388,mxD,مخض,1
1389,Htm,حتم,1
1390,Ddd,ضدد,1
1391,wfd,وفد,1
1392,Add,ادد,1
1393,hdd,هدد,1
1394,rkz,ركز,1
1395,vry,ثري,1
1396,xlE,خلع,1
1397,nEl,نعل,1
1398,h$$,هشش,1
1399,sHl,سحل,1
1400,wny,وني,1
1401,lHy,لحي,1
1402,zrq,زرق,1
1403,SfSf,صفصف,1
1404,Amt,امت,1
1405,hms,همس,1
1406,Enw,عنو,1
1407,Dnk,ضنك,1
1408,zhr,زهر,1
1409,qSm,قصم,1
1410,dmg,دمغ,1
1411,rtq,رتق,1
1412,ftq,فتق,1
1413,klA,كلا,1
1414,nfH,نفح,1
1415,fhm,فهم,1
1416,nwn,نون,1
1417,Hdb,حدب,1
1418,*hl,ذهل,1
1419,hmd,همد,1
1420,ETf,عطف,1
1421,mjs,مجس,1
1422,qmE,قمع,1
1423,Dmr,ضمر,1
1424,Emq,عمق,1
1425,tfv,تفث,1
1426,wjb,وجب,1
1427,hdm,هدم,1
1428,SmE,صمع,1
1429,bAr,بار,1
1430,sTw,سطو,1
1431,slb,سلب,1
1432,lfH,لفح,1
1433,klH,كلح,1
1434,Aym,ايم,1
1435,*En,ذعن,1
1436,Hyf,حيف,1
1437,lw*,لوذ,1
1438,fln,فلن,1
1439,fsr,فسر,1
1440,EbA,عبا,1
1441,Dyr,ضير,1
1442,$r*m,شرذم,1
1443,Twd,طود,1
1444,kbkb,كبكب,1
1445,ryE,ريع,1
1446,frh,فره,1
1447,bsm,بسم,1
1448,hdhd,هدهد,1
1449,xbA,خبا,1
1450,Efr,عفر,1
1451,jmd,جمد,1
1452,tqn,تقن,1
1453,wkz,وكز,1
1454,*wd,ذود,1
1455,j*w,جذو,1
1456,bqE,بقع,1
1457,fSH,فصح,1
1458,rdA,ردا,1
1459,qbH,قبح,1
1460,nwA,نوا,1
1461,xTT,خطط,1
1462,msw,مسو,1
1463,SEr,صعر,1
1464,xtr,ختر,1
1465,jfw,جفو,1
1466,jwf,جوف,1
1467,Ewq,عوق,1
1468,slq,سلق,1
1469,nHb,نحب,1
1470,SyS,صيص,1
1471,srd,سرد,1
1472,jfn,جفن,1
1473,Erm,عرم,1
1474,xmT,خمط,1
1475,Avl,اثل,1
1476,nw$,نوش,1
1477,qTmr,قطمر,1
1478,qmH,قمح,1
1479,Erjn,عرجن,1
1480,msx,مسخ,1
1481,lzb,لزب,1
1482,gwl,غول,1
1483,$wb,شوب,1
1484,zff,زفف,1
1485,tll,تلل,1
1486,jbn,جبن,1
1487,Abq,ابق,1
1488,shm,سهم,1
1489,lqm,لقم,1
1490,swH,سوح,1
1491,lwt,لوت,1
1492,nwS,نوص,1
1493,qTT,قطط,1
1494,Sfn,صفن,1
1495,jwd,جود,1
1496,rxw,رخو,1
1497,q$Er,قشعر,1
1498,$ks,شكس,1
1499,$mz,شمز,1
1500,fwD,فوض,1
1501,rkd,ركد,1
1502,rhw,رهو,1
1503,Hqf,حقف,1
1504,tEs,تعس,1
1505,Asn,اسن,1
1506,Esl,عسل,1
1507,mEy,معي,1
1508,$rT,شرط,1
1509,qfl,قفل,1
1510,lHn,لحن,1
1511,nbz,نبز,1
1512,lqb,لقب,1
1513,jss,جسس,1
1514,lyt,ليت,1
1515,bsq,بسق,1
1516,lfZ,لفظ,1
1517,Hyd,حيد,1
1518,Hbk,حبك,1
1519,hjE,هجع,1
1520,Skk,صكك,1
1521,rqq,رقق,1
1522,Alt,الت,1
1523,qwb,قوب,1
1524,qws,قوس,1
1525,Dyz,ضيز,1
1526,kdy,كدي,1
1527,qny,قني,1
1528,smd,سمد,1
1529,hmr,همر,1
1530,dsr,دسر,1
1531,qEr,قعر,1
1532,dhy,دهي,1
1533,Anm,انم,1
1534,fny,فني,1
1535,$wZ,شوظ,1
1536,fnn,فنن,1
1537,dhm,دهم,1
1538,nDx,نضخ,1
1539,xym,خيم,1
1540,rfrf,رفرف,1
1541,Ebqr,عبقر,1
1542,wDn,وضن,1
1543,xDd,خضد,1
1544,TlH,طلح,1
1545,skb,سكب,1
1546,mzn,مزن,1
1547,jls,جلس,1
1548,rSS,رصص,1
1549,x$b,خشب,1
1550,snd,سند,1
1551,gbn,غبن,1
1552,vyb,ثيب,1
1553,nmm,نمم,1
1554,znm,زنم,1
1555,xrTm,خرطم,1
1556,Hrd,حرد,1
1557,Hsm,حسم,1
1558,SrE,صرع,1
1559,why,وهي,1
1560,wtn,وتن,1
1561,hlE,هلع,1
1562,Ezw,عزو,1
1563,wfD,وفض,1
1564,nsr,نسر,1
1565,Hrs,حرس,1
1566,hrb,هرب,1
1567,Hry,حري,1
1568,gdq,غدق,1
1569,zml,زمل,1
1570,gSS,غصص,1
1571,kvb,كثب,1
1572,hyl,هيل,1
1573,dvr,دثر,1
1574,qsr,قسر,1
1575,Hrk,حرك,1
1576,trq,ترق,1
1577,mTw,مطو,1
1578,sdy,سدي,1
1579,m$j,مشج,1
1580,qmTr,قمطر,1
1581,zmhr,زمهر,1
1582,kft,كفت,1
1583,$mx,شمخ,1
1584,whj,وهج,1
1585,vjj,ثجج,1
1586,dhq,دهق,1
1587,nxr,نخر,1
1588,shr,سهر,1
1589,smk,سمك,1
1590,gT$,غطش,1
1591,dHw,دحو,1
1592,Tmm,طمم,1
1593,qDb,قضب,1
1594,Abb,ابب,1
1595,Sxx,صخخ,1
1596,kdr,كدر,1
1597,wH$,وحش,1
1598,wAd,واد,1
1599,k$T,كشط,1
1600,kns,كنس,1
1601,EsEs,عسعس,1
1602,Dnn,ضنن,1
1603,Tff,طفف,1
1604,ryn,رين,1
1605,rHq,رحق,1
1606,snm,سنم,1
1607,gmz,غمز,1
1608,dfq,دفق,1
1609,hzl,هزل,1
1610,sTH,سطح,1
1611,swT,سوط,1
1612,jmm,جمم,1
1613,kbd,كبد,1
1614,$fh,شفه,1
1615,njd,نجد,1
1616,sgb,سغب,1
1617,THw,طحو,1
1618,lhm,لهم,1
1619,dsw,دسو,1
1620,dmdm,دمدم,1
1621,lZy,لظي,1
1622,sjw,سجو,1
1623,tyn,تين,1
1624,sfE,سفع,1
1625,zbn,زبن,1
1626,DbH,ضبح,1
1627,qdH,قدح,1
1628,nqE,نقع,1
1629,knd,كند,1
1630,HSl,حصل,1
1631,fyl,فيل,1
1632,$tw,شتو,1
1633,Syf,صيف,1
1634,mEn,معن,1
1635,nHr,نحر,1
1636,btr,بتر,1
1637,jyd,جيد,1
1638,msd,مسد,1
1639,Smd,صمد,1
1640,kfA,كفا,1
1641,wqb,وقب,1
1642,nfv,نفث,1
