rank,buckwalter,arabic,count,root_buck,root_arabic
1285,Hab~ap,حَبَّة,5,Hbb,حبب
1286,salafa,سَلَفَ,5,slf,سلف
1287,kaf~aAr,كَفَّار,5,kfr,كفر
1288,dayon,دَيْن,5,dyn,دين
1289,yaboxaso,يَبْخَسْ,5,bxs,بخس
1290,yu&ad~i,يُؤَدِّ,5,Ady,ادي
1291,{kotasaba,ٱكْتَسَبَ,5,ksb,كسب
1292,Hum~ila,حُمِّلَ,5,Hml,حمل
1293,xayol,خَيْل,5,xyl,خيل
1294,{ll~ahum~a,ٱللَّهُمَّ,5,Alh,اله
1295,yaHoyaY`,يَحْيَىٰ,5,,
1296,mahod,مَهْد,5,mhd,مهد
1297,HawaAriy~uwn,حَوَارِيُّون,5,Hwr,حور
1298,n~ubuw~ap,نُّبُوَّة,5,nbA,نبا
1299,darasu,دَرَسُ,5,drs,درس
1300,karoh,كَرْه,5,krh,كره
1301,Hil~,حِلّ,5,Hll,حلل
1302,{EotaSamu,ٱعْتَصَمُ,5,ESm,عصم
1303,>al~afa,أَلَّفَ,5,Alf,الف
1304,qaA^}imap,قَا^ئِمَة,5,qwm,قوم
1305,bagoDaA^',بَغْضَا^ء,5,bgD,بغض
1306,Taraf,طَرَف,5,Trf,طرف
1307,wahana,وَهَنَ,5,whn,وهن
1308,ruEob,رُعْب,5,rEb,رعب
1309,gal~a,غَلَّ,5,gll,غلل
1310,dafaEo,دَفَعْ,5,dfE,دفع
1311,Hariyq,حَرِيق,5,Hrq,حرق
1312,Zal~a`m,ظَلَّٰم,5,Zlm,ظلم
1313,Eazom,عَزْم,5,Ezm,عزم
1314,raqiyb,رَقِيب,5,rqb,رقب
1315,'aAnasa,ءَانَسَ,5,Ans,انس
1316,>awoSa`,أَوْصَٰ,5,wSy,وصي
1317,>aroDaEato,أَرْضَعَتْ,5,rDE,رضع
1318,>aHoSanato,أَحْصَنَتْ,5,HSn,حصن
1319,{hojuro,ٱهْجُرْ,5,hjr,هجر
1320,Eafuw~,عَفُوّ,5,Efw,عفو
1321,Tumisato,طُمِسَتْ,5,Tms,طمس
1322,Sid~iyq,صِدِّيق,5,Sdq,صدق
1323,m~usotaDoEafuwn,مُّسْتَضْعَفُون,5,DEf,ضعف
1324,salam,سَلَم,5,slm,سلم
1325,taHoriyr,تَحْرِير,5,Hrr,حرر
1326,m~aHiyS,مَّحِيص,5,HyS,حيص
1327,yufotiy,يُفْتِي,5,fty,فتي
1328,$uH~,شُحّ,5,$HH,شحح
1329,halaka,هَلَكَ,5,hlk,هلك
1330,Sayod,صَيْد,5,Syd,صيد
1331,qar~aba,قَرَّبَ,5,qrb,قرب
1332,na`dimiyn,نَٰدِمِين,5,ndm,ندم
1333,jahod,جَهْد,5,jhd,جهد
1334,>awoqadu,أَوْقَدُ,5,wqd,وقد
1335,yamotaru,يَمْتَرُ,5,mry,مري
1336,far~aT,فَرَّط,5,frT,فرط
1337,Ta`^}ir,طَٰ^ئِر,5,Tyr,طير
1338,>aSonaAm,أَصْنَام,5,Snm,صنم
1339,m~uwqiniyn,مُّوقِنِين,5,yqn,يقن
1340,kawokab,كَوْكَب,5,kwkb,كوكب
1341,taqodiyr,تَقْدِير,5,qdr,قدر
1342,z~ayotuwn,زَّيْتُون,5,zyt,زيت
1343,vamar,ثَمَر,5,vmr,ثمر
1344,yajohalu,يَجْهَلُ,5,jhl,جهل
1345,m~ayot,مَّيْت,5,mwt,موت
1346,>ajoramu,أَجْرَمُ,5,jrm,جرم
1347,$araHa,شَرَحَ,5,$rH,شرح
1348,muholik,مُهْلِك,5,hlk,هلك
1349,{sotaxolafa,ٱسْتَخْلَفَ,5,xlf,خلف
1350,makaAnat,مَكَانَت,5,kwn,كون
1351,Hijor,حِجْر,5,Hjr,حجر
1352,tafoSiyl,تَفْصِيل,5,fSl,فصل
1353,waAzirap,وَازِرَة,5,wzr,وزر
1354,Sa`giruwn,صَٰغِرُون,5,Sgr,صغر
1355,sawo'a`t,سَوْءَٰت,5,swA,سوا
1356,vaqiyl,ثَقِيل,5,vql,ثقل
1357,naSaHu,نَصَحُ,5,nSH,نصح
1358,Eaqara,عَقَرَ,5,Eqr,عقر
1359,Eata,عَتَ,5,Etw,عتو
1360,ja`vimiyn,جَٰثِمِين,5,jvm,جثم
1361,>abolagu,أَبْلَغُ,5,blg,بلغ
1362,Ha`kimiyn,حَٰكِمِين,5,Hkm,حكم
1363,xalafa,خَلَفَ,5,xlf,خلف
1364,lawoH,لَوْح,5,lwH,لوح
1365,Eajila,عَجِلَ,5,Ejl,عجل
1366,Huwt,حُوت,5,Hwt,حوت
1367,muboTiluwn,مُبْطِلُون,5,bTl,بطل
1368,kalob,كَلْب,5,klb,كلب
1369,{qotaraba,ٱقْتَرَبَ,5,qrb,قرب
1370,baTa$o,بَطَشْ,5,bT$,بطش
1371,guduw~,غُدُوّ,5,gdw,غدو
1372,xaAnu,خَانُ,5,xwn,خون
1373,qay~im,قَيِّم,5,qwm,قوم
1374,xuruwj,خُرُوج,5,xrj,خرج
1375,yaEota*iru,يَعْتَذِرُ,5,E*r,عذر
1376,muna`fiqa`t,مُنَٰفِقَٰت,5,nfq,نفق
1377,bakato,بَكَتْ,5,bky,بكي
1378,Eajab,عَجَب,5,Ejb,عجب
1379,Eaj~ala,عَجَّلَ,5,Ejl,عجل
1380,suy~irato,سُيِّرَتْ,5,syr,سير
1381,yarohaqu,يَرْهَقُ,5,rhq,رهق
1382,mun*ariyn,مُنذَرِين,5,n*r,نذر
1383,>ukoriha,أُكْرِهَ,5,krh,كره
1384,miroyap,مِرْيَة,5,mry,مري
1385,jaram,جَرَم,5,jrm,جرم
1386,>awaY,أَوَى,5,Awy,اوي
1387,Dayof,ضَيْف,5,Dyf,ضيف
1388,SuboH,صُبْح,5,SbH,صبح
1389,rajamo,رَجَمْ,5,rjm,رجم
1390,EaTaA^',عَطَا^ء,5,ETw,عطو
1391,qaA^}il,قَا^ئِل,5,qwl,قول
1392,gad,غَد,5,gdw,غدو
1393,biDa`Eap,بِضَٰعَة,5,bDE,بضع
1394,xa`Ti_#iyn,خَٰطِـ#ِين,5,xTA,خطا
1395,xuDor,خُضْر,5,xDr,خضر
1396,xaTob,خَطْب,5,xTb,خطب
1397,munziliyn,مُنزِلِين,5,nzl,نزل
1398,A^vara,ا^ثَرَ,5,Avr,اثر
1399,jahara,جَهَرَ,5,jhr,جهر
1400,qaAriEap,قَارِعَة,5,qrE,قرع
1401,>asokan,أَسْكَن,5,skn,سكن
1402,yaEoruju,يَعْرُجُ,5,Erj,عرج
1403,muxoraj,مُخْرَج,5,xrj,خرج
1404,muSobiHiyn,مُصْبِحِين,5,SbH,صبح
1405,$~a`ribiyn,شَّٰرِبِين,5,$rb,شرب
1406,>asaA^'a,أَسَا^ءَ,5,swA,سوا
1407,mutorafiyn,مُتْرَفِين,5,trf,ترف
1408,maluwm,مَلُوم,5,lwm,لوم
1409,maso_#uwl,مَسْـ#ُول,5,sAl,سال
1410,nufuwr,نُفُور,5,nfr,نفر
1411,tisoE,تِسْع,5,tsE,تسع
1412,ra$ad,رَشَد,5,r$d,رشد
1413,>asaAwir,أَسَاوِر,5,swr,سور
1414,>araA^}ik,أَرَا^ئِك,5,Ark,ارك
1415,sawiy~,سَوِيّ,5,swy,سوي
1416,taqar~a,تَقَرَّ,5,qrr,قرر
1417,gafolap,غَفْلَة,5,gfl,غفل
1418,{n$aq~a,ٱنشَقَّ,5,$qq,شقق
1419,Tariyqap,طَرِيقَة,5,Trq,طرق
1420,gaf~aAr,غَفَّار,5,gfr,غفر
1421,$aAEir,شَاعِر,5,$Er,شعر
1422,m~ukoramuwn,مُّكْرَمُون,5,krm,كرم
1423,Ealaqap,عَلَقَة,5,Elq,علق
1424,{mori},ٱمْرِئ,5,mrA,مرا
1425,nu$uwr,نُشُور,5,n$r,نشر
1426,balodap,بَلْدَة,5,bld,بلد
1427,fawoj,فَوْج,5,fwj,فوج
1428,$irok,شِرْك,5,$rk,شرك
1429,zuw~ijato,زُوِّجَتْ,5,zwj,زوج
1430,ka*~aAb,كَذَّاب,5,k*b,كذب
1431,tawaASa,تَوَاصَ,5,wSy,وصي
1432,{sotaEiynu,ٱسْتَعِينُ,4,Ewn,عون
1433,waquwd,وَقُود,4,wqd,وقد
1434,>an[ba>a,أَن[بَأَ,4,nbA,نبا
1435,talaq~aY`^,تَلَقَّىٰ^,4,lqy,لقي
1436,m~ula`quwA,مُّلَٰقُوا,4,lqy,لقي
1437,ra`jiEuwn,رَٰجِعُون,4,rjE,رجع
1438,yasuwmu,يَسُومُ,4,swm,سوم
1439,wa`Eado,وَٰعَدْ,4,wEd,وعد
1440,gama`m,غَمَٰم,4,gmm,غمم
1441,baqarap,بَقَرَة,4,bqr,بقر
1442,ta$a`baha,تَشَٰبَهَ,4,$bh,شبه
1443,kala`m,كَلَٰم,4,klm,كلم
1444,yuHar~ifu,يُحَرِّفُ,4,Hrf,حرف
1445,>aqoraro,أَقْرَرْ,4,qrr,قرر
1446,>asiyr,أَسِير,4,Asr,اسر
1447,muHar~am,مُحَرَّم,4,Hrm,حرم
1448,qaf~ayo,قَفَّيْ,4,qfw,قفو
1449,qudus,قُدُس,4,qds,قدس
1450,maro',مَرْء,4,mrA,مرا
1451,$ara,شَرَ,4,$ry,شري
1452,haAtu,هَاتُ,4,hAt,هات
1453,vam~,ثَمّ,4,,
1454,TaA^}if,طَا^ئِف,4,Twf,طوف
1455,mansak,مَنسَك,4,nsk,نسك
1456,yarogabu,يَرْغَبُ,4,rgb,رغب
1457,mumotariyn,مُمْتَرِين,4,mry,مري
1458,juwE,جُوع,4,jwE,جوع
1459,$aEa`^}ir,شَعَٰ^ئِر,4,$Er,شعر
1460,>uhil~a,أُهِلَّ,4,hll,هلل
1461,qibal,قِبَل,4,qbl,قبل
1462,ba>osaA^',بَأْسَا^ء,4,bAs,باس
1463,qiSaAS,قِصَاص,4,qSS,قصص
1464,kab~iro,كَبِّرْ,4,kbr,كبر
1465,saboEap,سَبْعَة,4,sbE,سبع
1466,fusuwq,فُسُوق,4,fsq,فسق
1467,Eazama,عَزَمَ,4,Ezm,عزم
1468,>azokaY`,أَزْكَىٰ,4,zkw,زكو
1469,>aTohar,أَطْهَر,4,Thr,طهر
1470,Euqodap,عُقْدَة,4,Eqd,عقد
1471,yuHaAfiZu,يُحَافِظُ,4,HfZ,حفظ
1472,jaAwaza,جَاوَزَ,4,jwz,جوز
1473,{qotatala,ٱقْتَتَلَ,4,qtl,قتل
1474,gay~,غَيّ,4,gwy,غوي
1475,yuboTila,يُبْطِلَ,4,bTl,بطل
1476,na*aro,نَذَرْ,4,n*r,نذر
1477,EalaAniyap,عَلَانِيَة,4,Eln,علن
1478,Harob,حَرْب,4,Hrb,حرب
1479,>aqowam,أَقْوَم,4,qwm,قوم
1480,{ntiqaAm,ٱنتِقَام,4,nqm,نقم
1481,Saw~ara,صَوَّرَ,4,Swr,صور
1482,da>ob,دَأْب,4,dAb,داب
1483,>amad,أَمَد,4,Amd,امد
1484,miHoraAb,مِحْرَاب,4,Hrb,حرب
1485,qalam,قَلَم,4,qlm,قلم
1486,TawoE,طَوْع,4,TwE,طوع
1487,taqiy~,تَقِيّ,4,wqy,وقي
1488,>anqa*a,أَنقَذَ,4,nq*,نقذ
1489,>uwlaA^',أُولَا^ء,4,,
1490,maqoEad,مَقْعَد,4,qEd,قعد
1491,fa$ilo,فَشِلْ,4,f$l,فشل
1492,>a*il~ap,أَذِلَّة,4,*ll,ذلل
1493,EaroD,عَرْض,4,ErD,عرض
1494,>aSar~u,أَصَرُّ,4,Srr,صرر
1495,muHam~ad,مُحَمَّد,4,,
1496,hunaA,هُنَا,4,,
1497,mutawak~iluwn,مُتَوَكِّلُون,4,wkl,وكل
1498,yadora&uA@,يَدْرَؤُا@,4,drA,درا
1499,yuxaw~ifu,يُخَوِّفُ,4,xwf,خوف
1500,quEuwd,قُعُود,4,qEd,قعد
1501,haniy^_#,هَنِي^ـ#,4,hnA,هنا
1502,Hasiyb,حَسِيب,4,Hsb,حسب
1503,jaha`lap,جَهَٰلَة,4,jhl,جهل
1504,>uSoliy,أُصْلِي,4,Sly,صلي
1505,junub,جُنُب,4,jnb,جنب
1506,faxuwr,فَخُور,4,fxr,فخر
1507,lamasu,لَمَسُ,4,lms,لمس
1508,SaEiyd,صَعِيد,4,SEd,صعد
1509,kalim,كَلِم,4,klm,كلم
1510,>ama`na`t,أَمَٰنَٰت,4,Amn,امن
1511,buruwj,بُرُوج,4,brj,برج
1512,bay~ata,بَيَّتَ,4,byt,بيت
1513,yatadab~aru,يَتَدَبَّرُ,4,dbr,دبر
1514,kifol,كِفْل,4,kfl,كفل
1515,Hay~a,حَيَّ,4,Hyy,حيي
1516,magaAnim,مَغَانِم,4,gnm,غنم
1517,muja`hidiyn,مُجَٰهِدِين,4,jhd,جهد
1518,wa`siEap,وَٰسِعَة,4,wsE,وسع
1519,>asoliHat,أَسْلِحَت,4,slH,سلح
1520,yugay~iru,يُغَيِّرُ,4,gyr,غير
1521,qiyl,قِيل,4,qwl,قول
1522,xaliyl,خَلِيل,4,xll,خلل
1523,>akol,أَكْل,4,Akl,اكل
1524,>ay~uwb,أَيُّوب,4,,
1525,yuwnus,يُونُس,4,,
1526,Tariyq,طَرِيق,4,Trq,طرق
1527,Ea$ar,عَشَر,4,E$r,عشر
1528,ta>osa,تَأْسَ,4,Asw,اسو
1529,ba`siT,بَٰسِط,4,bsT,بسط
1530,"wu,riYa","وُ,رِىَ",4,wry,وري
1531,qut~ilu,قُتِّلُ,4,qtl,قتل
1532,yuSal~abu,يُصَلَّبُ,4,Slb,صلب
1533,sam~a`Euwn,سَمَّٰعُون,4,smE,سمع
1534,>aHobaAr,أَحْبَار,4,Hbr,حبر
1535,kaf~a`rap,كَفَّٰرَة,4,kfr,كفر
1536,naqamu,نَقَمُ,4,nqm,نقم
1537,risaAlap,رِسَالَة,4,rsl,رسل
1538,wabaAl,وَبَال,4,wbl,وبل
1539,Eal~a`m,عَلَّٰم,4,Elm,علم
1540,guyuwb,غُيُوب,4,gyb,غيب
1541,>akin~ap,أَكِنَّة,4,knn,كنن
1542,mubolisuwn,مُبْلِسُون,4,bls,بلس
1543,daAbir,دَابِر,4,dbr,دبر
1544,Sadafa,صَدَفَ,4,Sdf,صدف
1545,karob,كَرْب,4,krb,كرب
1546,malakuwt,مَلَكُوت,4,mlk,ملك
1547,*ur~iy~a`t,ذُرِّيَّٰت,4,*rr,ذرر
1548,huwn,هُون,4,hwn,هون
1549,TaloE,طَلْع,4,TlE,طلع
1550,xaraqa,خَرَقَ,4,xrq,خرق
1551,Sa`Hibap,صَٰحِبَة,4,SHb,صحب
1552,zuxoruf,زُخْرُف,4,zxrf,زخرف
1553,{qotarafo,ٱقْتَرَفْ,4,qrf,قرف
1554,tam~a,تَمَّ,4,tmm,تمم
1555,yaxoruSu,يَخْرُصُ,4,xrS,خرص
1556,vama`niyap,ثَمَٰنِيَة,4,vmn,ثمن
1557,daEowaY`,دَعْوَىٰ,4,dEw,دعو
1558,vaqulato,ثَقُلَتْ,4,vql,ثقل
1559,wasowasa,وَسْوَسَ,4,wsws,وسوس
1560,yasotaqodimu,يَسْتَقْدِمُ,4,qdm,قدم
1561,naEam,نَعَم,4,,
1562,>ugo$iyato,أُغْشِيَتْ,4,g$w,غشو
1563,TamaE,طَمَع,4,TmE,طمع
1564,qaSor,قَصْر,4,qSr,قصر
1565,yanoHitu,يَنْحِتُ,4,nHt,نحت
1566,r~ajofap,رَّجْفَة,4,rjf,رجف
1567,jawaAb,جَوَاب,4,jwb,جوب
1568,jasad,جَسَد,4,jsd,جسد
1569,>aroHam,أَرْحَم,4,rHm,رحم
1570,{xotaAra,ٱخْتَارَ,4,xyr,خير
1571,xabiyvap,خَبِيثَة,4,xbv,خبث
1572,muEa*~ib,مُعَذِّب,4,E*b,عذب
1573,n~azaga,نَّزَغَ,4,nzg,نزغ
1574,{sotaEi*o,ٱسْتَعِذْ,4,Ew*,عوذ
1575,muboSir,مُبْصِر,4,bSr,بصر
1576,yuHiq~a,يُحِقَّ,4,Hqq,حقق
1577,{sotaga`va,ٱسْتَغَٰثَ,4,gwv,غوث
1578,maDaY`,مَضَىٰ,4,mDy,مضي
1579,manaAm,مَنَام,4,nwm,نوم
1580,yuEojiza,يُعْجِزَ,4,Ejz,عجز
1581,DaEof,ضَعْف,4,DEf,ضعف
1582,Eamaru,عَمَرُ,4,Emr,عمر
1583,faA^}izuwn,فَا^ئِزُون,4,fwz,فوز
1584,{sotaHab~u,ٱسْتَحَبُّ,4,Hbb,حبب
1585,jihaAd,جِهَاد,4,jhd,جهد
1586,muxal~afuwn,مُخَلَّفُون,4,xlf,خلف
1587,say~i},سَيِّئ,4,swA,سوا
1588,naSab,نَصَب,4,nSb,نصب
1589,yudab~iru,يُدَبِّرُ,4,dbr,دبر
1590,HaSiyd,حَصِيد,4,HSd,حصد
1591,>amos,أَمْس,4,,
1592,$ifaA^',شِفَا^ء,4,$fy,شفي
1593,$a>on,شَأْن,4,$An,شان
1594,>ajomaEu,أَجْمَعُ,4,jmE,جمع
1595,yatabaw~a>u,يَتَبَوَّأُ,4,bwA,بوا
1596,>axosariyn,أَخْسَرِين,4,xsr,خسر
1597,>aro*al,أَرْذَل,4,r*l,رذل
1598,m~ugoraquwn,مُّغْرَقُون,4,grq,غرق
1599,Eaniyd,عَنِيد,4,End,عند
1600,Eajuwz,عَجُوز,4,Ejz,عجز
1601,$ayox,شَيْخ,4,$yx,شيخ
1602,m~ajiyd,مَّجِيد,4,mjd,مجد
1603,EaAliy,عَالِي,4,Elw,علو
1604,{rotaqibo,ٱرْتَقِبْ,4,rqb,رقب
1605,ZaAlimap,ظَالِمَة,4,Zlm,ظلم
1606,yatakal~amu,يَتَكَلَّمُ,4,klm,كلم
1607,$aqiy~,شَقِيّ,4,$qw,شقو
1608,$aqu,شَقُ,4,$qw,شقو
1609,EuSobap,عُصْبَة,4,ESb,عصب
1610,saw~ala,سَوَّلَ,4,swl,سول
1611,>akorama,أَكْرَمَ,4,krm,كرم
1612,qud~a,قُدَّ,4,qdd,قدد
1613,baAl,بَال,4,bwl,بول
1614,m~akiyn,مَّكِين,4,mkn,مكن
1615,{sotaxoraja,ٱسْتَخْرَجَ,4,xrj,خرج
1616,saraqa,سَرَقَ,4,srq,سرق
1617,>aloHaqo,أَلْحَقْ,4,lHq,لحق
1618,Hiloyap,حِلْيَة,4,Hly,حلي
1619,makava,مَكَثَ,4,mkv,مكث
1620,Sab~aAr,صَبَّار,4,Sbr,صبر
1621,xaAba,خَابَ,4,xyb,خيب
1622,>alohaY`,أَلْهَىٰ,4,lhw,لهو
1623,m~asoHuwr,مَّسْحُور,4,sHr,سحر
1624,$ihaAb,شِهَاب,4,$hb,شهب
1625,SaloSa`l,صَلْصَٰل,4,SlSl,صلصل
1626,m~utaqa`biliyn,مُّتَقَٰبِلِين,4,qbl,قبل
1627,qanaTu,قَنَطُ,4,qnT,قنط
1628,>ayokap,أَيْكَة,4,,
1629,saqof,سَقْف,4,sqf,سقف
1630,da`xiruwn,دَٰخِرُون,4,dxr,دخر
1631,yasotaEotibu,يَسْتَعْتِبُ,4,Etb,عتب
1632,nafida,نَفِدَ,4,nfd,نفد
1633,Euluw~,عُلُوّ,4,Elw,علو
1634,HaASib,حَاصِب,4,HSb,حصب
1635,kisaf,كِسَف,4,ksf,كسف
1636,firaAr,فِرَار,4,frr,فرر
1637,Hul~u,حُلُّ,4,Hly,حلي
1638,<isotaboraq,إِسْتَبْرَق,4,,
1639,m~untaSir,مُّنتَصِر,4,nSr,نصر
1640,m~uqotadir,مُّقْتَدِر,4,qdr,قدر
1641,safiynap,سَفِينَة,4,sfn,سفن
1642,sad~,سَدّ,4,sdd,سدد
1643,daAEiY,دَاعِى,4,dEw,دعو
1644,baEov,بَعْث,4,bEv,بعث
1645,Tifol,طِفْل,4,Tfl,طفل
1646,{hotaz~ato,ٱهْتَزَّتْ,4,hzz,هزز
1647,rabato,رَبَتْ,4,rbw,ربو
1648,Sab~a,صَبَّ,4,Sbb,صبب
1649,z~uwr,زُّور,4,zwr,زور
1650,nakiyr,نَكِير,4,nkr,نكر
1651,Eaqiym,عَقِيم,4,Eqm,عقم
1652,m~aEiyn,مَّعِين,4,Eyn,عين
1653,yaguD~u,يَغُضُّ,4,gDD,غضض
1654,Eaworap,عَوْرَة,4,Ewr,عور
1655,miSobaAH,مِصْبَاح,4,SbH,صبح
1656,m~uba`rakap,مُّبَٰرَكَة,4,brk,برك
1657,s~uwq,سُّوق,4,swq,سوق
1658,vubuwr,ثُبُور,4,vbr,ثبر
1659,siraAj,سِرَاج,4,srj,سرج
1660,>uzolifato,أُزْلِفَتْ,4,zlf,زلف
1661,muEa*~abiyn,مُعَذَّبِين,4,E*b,عذب
1662,SaroH,صَرْح,4,SrH,صرح
1663,saAq,سَاق,4,swq,سوق
1664,murosil,مُرْسِل,4,rsl,رسل
1665,qa`ruwn,قَٰرُون,4,,
1666,m~ahiyn,مَّهِين,4,mhn,مهن
1667,{l~a`^_#iY,ٱلَّٰ^ـ#ِى,4,,
1668,>aHobaTa,أَحْبَطَ,4,HbT,حبط
1669,zulofaY`^,زُلْفَىٰ^,4,zlf,زلف
1670,Eiyn,عِين,4,Eyn,عين
1671,m~akonuwn,مَّكْنُون,4,knn,كنن
1672,naEojap,نَعْجَة,4,nEj,نعج
1673,fuj~aAr,فُجَّار,4,fjr,فجر
1674,xazanat,خَزَنَت,4,xzn,خزن
1675,mamonuwn,مَمْنُون,4,mnn,منن
1676,tamaAra,تَمَارَ,4,mry,مري
1677,>akowaAb,أَكْوَاب,4,kwb,كوب
1678,Huwr,حُور,4,Hwr,حور
1679,maHoruwm,مَحْرُوم,4,Hrm,حرم
1680,saqar,سَقَر,4,,
1681,tana`jayo,تَنَٰجَيْ,4,njw,نجو
1682,{sotagonaY`,ٱسْتَغْنَىٰ,4,gny,غني
1683,Tabaq,طَبَق,4,Tbq,طبق
1684,raADiyap,رَاضِيَة,4,rDw,رضو
1685,>adobara,أَدْبَرَ,4,dbr,دبر
1686,ma`lik,مَٰلِك,3,mlk,ملك
1687,>aDaA^'a,أَضَا^ءَ,3,DwA,ضوا
1688,xaTifa,خَطِفَ,3,xTf,خطف
1689,fira`$,فِرَٰش,3,fr$,فرش
1690,ragad,رَغَد,3,rgd,رغد
1691,yarohabu,يَرْهَبُ,3,rhb,رهب
1692,yu*ab~iHu,يُذَبِّحُ,3,*bH,ذبح
1693,baAri},بَارِئ,3,brA,برا
1694,jahorap,جَهْرَة,3,jhr,جهر
1695,s~alowaY`,سَّلْوَىٰ,3,slw,سلو
1696,Ea$orap,عَشْرَة,3,E$r,عشر
1697,m~a$orab,مَّشْرَب,3,$rb,شرب
1698,yasotabodilo,يَسْتَبْدِلْ,3,bdl,بدل
1699,S~a`bi_#iyn,صَّٰبِـ#ِين,3,SbA,صبا
1700,qiradap,قِرَدَة,3,qrd,قرد
1701,xaAsi},خَاسِئ,3,xsA,خسا
1702,naka`l,نَكَٰل,3,nkl,نكل
1703,bikor,بِكْر,3,bkr,بكر
1704,baqar,بَقَر,3,bqr,بقر
1705,m~usal~amap,مُّسَلَّمَة,3,slm,سلم
1706,muxorij,مُخْرِج,3,xrj,خرج
1707,qasato,قَسَتْ,3,qsw,قسو
1708,ya$~aq~aqu,يَشَّقَّقُ,3,$qq,شقق
1709,tuHad~ivu,تُحَدِّثُ,3,Hdv,حدث
1710,{sotafotaHu,ٱسْتَفْتَحُ,3,ftH,فتح
1711,jiboriyl,جِبْرِيل,3,,
1712,yatabad~ali,يَتَبَدَّلِ,3,bdl,بدل
1713,huwd2,هُود²,3,hwd,هود
1714,xaA^}if,خَا^ئِف,3,xwf,خوف
1715,qawaAEid,قَوَاعِد,3,qEd,قعد
1716,taAbiE,تَابِع,3,tbE,تبع
1717,xaArij,خَارِج,3,xrj,خرج
1718,>alofa,أَلْفَ,3,lfw,لفو
1719,baAg,بَاغ,3,bgy,بغي
1720,fidoyap,فِدْيَة,3,fdy,فدي
1721,d~aAE,دَّاع,3,dEw,دعو
1722,maHil~,مَحِلّ,3,Hll,حلل
1723,ta>ax~ara,تَأَخَّرَ,3,Axr,اخر
1724,l~am~aA,لَّمَّا,3,,
1725,zulozilu,زُلْزِلُ,3,zlzl,زلزل
1726,kuroh,كُرْه,3,krh,كره
1727,mayosir,مَيْسِر,3,ysr,يسر
1728,mu$orika`t,مُشْرِكَٰت,3,$rk,شرك
1729,tunkiHu,تُنكِحُ,3,nkH,نكح
1730,maHiyD,مَحِيض,3,HyD,حيض
1731,faA^'u,فَا^ءُ,3,fyA,فيا
1732,yataEad~a,يَتَعَدَّ,3,Edw,عدو
1733,sar~iHu,سَرِّحُ,3,srH,سرح
1734,mawoluwd,مَوْلُود,3,wld,ولد
1735,yuDaA^r~a,يُضَا^رَّ,3,Drr,ضرر
1736,fiSaAl,فِصَال,3,fSl,فصل
1737,>akonan,أَكْنَن,3,knn,كنن
1738,baqiy~at,بَقِيَّت,3,bqy,بقي
1739,jaAluwt,جَالُوت,3,,
1740,>aforigo,أَفْرِغْ,3,frg,فرغ
1741,fasadati,فَسَدَتِ,3,fsd,فسد
1742,qay~uwm,قَيُّوم,3,qwm,قوم
1743,nawom,نَوْم,3,nwm,نوم
1744,HifoZ,حِفْظ,3,HfZ,حفظ
1745,{sotamosaka,ٱسْتَمْسَكَ,3,msk,مسك
1746,kasawo,كَسَوْ,3,ksw,كسو
1747,juzo',جُزْء,3,jzA,جزا
1748,ri}aA^',رِئَا^ء,3,rAy,راي
1749,waAbil,وَابِل,3,wbl,وبل
1750,tayam~amu,تَيَمَّمُ,3,ymm,يمم
1751,A^xi*,ا^خِذ,3,Ax*,اخذ
1752,Darob,ضَرْب,3,Drb,ضرب
1753,baqiYa,بَقِىَ,3,bqy,بقي
1754,yumil~a,يُمِلَّ,3,mll,ملل
1755,yaso_#amu,يَسْـ#َمُ,3,sAm,سام
1756,Sagiyr,صَغِير,3,Sgr,صغر
1757,A^vim,ا^ثِم,3,Avm,اثم
1758,HaAsabo,حَاسَبْ,3,Hsb,حسب
1759,<iSor,إِصْر,3,ASr,اصر
1760,wah~aAb,وَهَّاب,3,whb,وهب
1761,jaAmiE,جَامِع,3,jmE,جمع
1762,$~ahawa`t,شَّهَوَٰت,3,$hw,شهو
1763,qinTaAr,قِنطَار,3,qnTr,قنطر
1764,m~usaw~amap,مُّسَوَّمَة,3,swm,سوم
1765,saHar,سَحَر,3,sHr,سحر
1766,Eimora`n,عِمْرَٰن,3,,
1767,say~id,سَيِّد,3,swd,سود
1768,EaAqir,عَاقِر,3,Eqr,عقر
1769,yakofulu,يَكْفُلُ,3,kfl,كفل
1770,>aHas~a,أَحَسَّ,3,Hss,حسس
1771,yalo,يَلْ,3,lwy,لوي
1772,rab~a`niy~in,رَبَّٰنِيِّن,3,rbb,ربب
1773,{boyaD~ato,ٱبْيَضَّتْ,3,byD,بيض
1774,'aAnaA^',ءَانَا^ء,3,Any,اني
1775,Eani,عَنِ,3,Ent,عنت
1776,gada,غَدَ,3,gdw,غدو
1777,xamosap,خَمْسَة,3,xms,خمس
1778,kubita,كُبِتَ,3,kbt,كبت
1779,bayaAn,بَيَان,3,byn,بين
1780,qaroH,قَرْح,3,qrH,قرح
1781,>ava`ba,أَثَٰبَ,3,vwb,ثوب
1782,faAta,فَاتَ,3,fwt,فوت
1783,maDaAjiE,مَضَاجِع,3,DjE,ضجع
1784,{nfaD~u,ٱنفَضُّ,3,fDD,فضض
1785,qurobaAn,قُرْبَان,3,qrb,قرب
1786,*aA^}iqap,ذَا^ئِقَة,3,*wq,ذوق
