surah,verse,meccan_medinan,length_letters,length_words,rhyme_letter,position_class,tags_count,tags_list,characterization
10,101,meccan,60,14,ن,late,13,iltifat;imperative;meccan;medium;pos-late;qul-imperative;qul-say-opener;quotation;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;surah-10,Commands the Prophet to declare
10,102,meccan,64,15,ن,late,16,contains-question;iltifat;imperative;jinas;meccan;medium;parable;pos-late;qul-say-opener;quotation;rhetorical-Q;rhetorical-question;rhyme-break;rhyme-conforming;rhyme-ن;surah-10,Poses a rhetorical question
10,103,meccan,45,10,ن,late,8,iltifat;jinas;meccan;pos-late;rhyme-conforming;rhyme-ن;short;surah-10,Narrates prophetic history
10,104,meccan,100,27,ن,late,20,contains-vocative-ar;contains-vocative-en;divine-names;divine-names(1);ethical-universalism;iltifat;imperative;jinas;meccan;medium;mentions-Allah;pos-late;qul-imperative;qul-say-opener;quotation;rhyme-conforming;rhyme-ن;surah-10;vocative;vocative-topic,Commands the Prophet to declare
10,105,meccan,38,9,ن,late,9,iltifat;imperative;meccan;pos-late;prohibitive;rhyme-conforming;rhyme-ن;short;surah-10,Declares or asserts
10,106,meccan,55,16,ن,late,11,divine-names;divine-names(1);iltifat;meccan;medium;mentions-Allah;pos-late;prohibitive;rhyme-conforming;rhyme-ن;surah-10,Issues a negative command
10,107,meccan,85,24,م,late,14,divine-name-cluster;divine-name-pair-ending;divine-names;divine-names(3);divine-names-topic;ends-divine-pair;iltifat;meccan;medium;mentions-Allah;pos-late;rhyme-deviation;rhyme-م;surah-10,Issues a negative command
10,108,meccan,87,23,ل,late,20,contains-innama;contains-vocative-ar;contains-vocative-en;ethical-universalism;iltifat;imperative;innama;innama-topic;jinas;meccan;medium;pos-late;qul-imperative;qul-say-opener;quotation;rhyme-deviation;rhyme-ل;self-reference;surah-10;vocative,Commands the Prophet to declare
10,109,meccan,45,11,ن,closing,14,divine-names;divine-names(1);elative;iltifat;imperative;jinas;meccan;mentions-Allah;pos-closing;rhyme-conforming;rhyme-ن;short;surah-10;surah-closer,Issues an imperative command
11,1,meccan,36,10,ر,opening,12,cross-textual;divine-names-topic;jinas;meccan;muqatta-opener;muqattaat-opener;pos-opening;rhyme-deviation;rhyme-ر;short;surah-11;surah-opener,Utters disconnected letters
11,2,meccan,35,9,ر,early,11,divine-names;divine-names(1);graph-theory;iltifat;meccan;mentions-Allah;pos-early;rhyme-deviation;rhyme-ر;short;surah-11,Issues a negative command
11,3,meccan,98,25,ر,early,11,chrono-critical;divine-names-topic;iltifat;imperative;jinas;meccan;medium;pos-early;rhyme-deviation;rhyme-ر;surah-11,Issues an imperative command
11,4,meccan,28,8,ر,early,14,divine-names;divine-names(1);iltifat;meccan;mentions-Allah;numerical-coincidence;numerical-sequence;parable-topic;phonaesthetic;pos-early;rhyme-deviation;rhyme-ر;short;surah-11,Describes the divine self
11,5,meccan,85,19,ر,early,17,body-part;dual-form-topic;hapax;iltifat;jinas;meccan;medium;moses-finding;muqattaat-gradient;paired-opposite;pos-early;qalb-theology;rhyme-deviation;rhyme-ر;surah-11;surah-boundary;time-vocab,Declares or asserts
11,6,meccan,64,16,ن,early,10,animal;divine-names;divine-names(1);meccan;medium;mentions-Allah;pos-early;rhyme-conforming;rhyme-ن;surah-11,Issues a negative command
11,7,meccan,127,31,ن,early,16,earth-sciences-audit;famous-number;iltifat;jinas;long;meccan;nafs-theology;pos-early;quotation;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;saj-rhyme;self-reference;surah-11,Describes a sign in nature
11,8,meccan,93,22,ن,early,12,contains-question;elative;hapax;iltifat;meccan;medium;pos-early;quotation;rhyme-conforming;rhyme-ن;surah-11;yawm,Poses a rhetorical question
11,9,meccan,47,11,ر,early,10,chrono-critical;dual-form-topic;iltifat;meccan;pos-early;quotation-topic;rhyme-deviation;rhyme-ر;short;surah-11,Issues an imperative command
11,10,meccan,56,13,ر,early,11,hapax;iltifat;meccan;medium;phonaesthetic;pos-early;quotation;rhyme-deviation;rhyme-ر;sensory;surah-11,Issues an imperative command
11,11,meccan,48,10,ر,early,7,meccan;muqattaat-gradient;pos-early;rhyme-deviation;rhyme-ر;short;surah-11,Issues an imperative command
11,12,meccan,95,27,ل,early,17,contains-innama;contains-question;contains-wa-allah;divine-names;divine-names(1);hapax;iltifat;innama;meccan;medium;mentions-Allah;pos-early;qalb-theology;quotation;rhyme-deviation;rhyme-ل;surah-11,Poses a rhetorical question
11,13,meccan,75,18,ن,early,22,contains-question;divine-names;divine-names(1);hapax;iltifat;imperative;imperative-topic;jinas;meccan;medium;mentions-Allah;muqattaat-gradient;mutashabih-lafzi;parable;phonaesthetic;pos-early;qul-say-opener;quotation;rhyme-conforming;rhyme-ن;self-reference;surah-11,Poses a rhetorical question
11,14,meccan,64,16,ن,early,19,contains-question;divine-names;divine-names(1);divine-names-topic;hapax;iltifat;imperative;jinas;meccan;medium;mentions-Allah;muhkam-mutashabih;negation;pos-early;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;surah-11,Poses a rhetorical question
11,15,meccan,62,14,ن,early,7,iltifat;meccan;medium;pos-early;rhyme-conforming;rhyme-ن;surah-11,Declares or asserts
11,16,meccan,65,16,ن,early,6,meccan;medium;pos-early;rhyme-conforming;rhyme-ن;surah-11,Declares or asserts
11,17,meccan,146,39,ن,early,14,contains-question;covenant;iltifat;intra-xref;jinas;long;meccan;pos-early;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;surah-11;yawm,Poses a rhetorical question
11,18,meccan,100,23,ن,early,12,contains-question;divine-names;divine-names(1);jinas;meccan;medium;mentions-Allah;pos-early;quotation;rhyme-conforming;rhyme-ن;surah-11,Poses a rhetorical question
11,19,meccan,50,11,ن,early,11,divine-names;divine-names(1);meccan;mentions-Allah;muqattaat-gradient;mutashabih-lafzi;pos-early;rhyme-conforming;rhyme-ن;short;surah-11,Declares or asserts
11,20,meccan,100,24,ن,early,11,divine-names;divine-names(1);jinas;meccan;medium;mentions-Allah;negation;pos-early;rhyme-conforming;rhyme-ن;surah-11,Warns of punishment
11,21,meccan,41,9,ن,early,7,meccan;muqattaat-gradient;pos-early;rhyme-conforming;rhyme-ن;short;surah-11,Declares or asserts
11,22,meccan,27,7,ن,early,8,meccan;mutashabih-lafzi;mutashabih-topic;pos-early;rhyme-conforming;rhyme-ن;short;surah-11,Declares or asserts
11,23,meccan,67,14,ن,early,6,meccan;medium;pos-early;rhyme-conforming;rhyme-ن;surah-11,Affirms with emphatic particle
11,24,meccan,61,11,ن,early,18,contains-question;divine-names;divine-names(2);dual-form;iltifat;jinas;meccan;medium;parable;parable-topic;pos-early;rhetorical-Q;rhetorical-Q-topic;rhetorical-question;rhyme-conforming;rhyme-ن;saj-rhyme;surah-11,Poses a rhetorical question
11,25,meccan,35,9,ن,early,10,deep-hypothesis;iltifat;meccan;negation;pos-early;prophet-micro-ring;rhyme-conforming;rhyme-ن;short;surah-11,Narrates prophetic history
11,26,meccan,40,11,م,early,10,divine-names;divine-names(1);iltifat;meccan;mentions-Allah;pos-early;rhyme-deviation;rhyme-م;short;surah-11,Issues an imperative command
11,27,meccan,113,29,ن,early,11,hapax;iltifat;jinas;meccan;medium;parable;pos-early;quotation;rhyme-conforming;rhyme-ن;surah-11,Declares or asserts
11,28,meccan,81,20,ن,early,15,contains-question;contains-vocative-en;hapax;iltifat;intra-xref;meccan;medium;pos-early;quotation;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;surah-11;vocative,Poses a rhetorical question
11,29,meccan,92,23,ن,early,13,divine-names;divine-names(1);iltifat;jinas;meccan;medium;mentions-Allah;muqattaat-gradient;pos-early;rhyme-conforming;rhyme-ن;surah-11;vocative,Promises reward to the believers
11,30,meccan,38,10,ن,early,15,contains-question;divine-names;divine-names(1);iltifat;meccan;mentions-Allah;pos-early;rhetorical-Q;rhetorical-Q-topic;rhetorical-question;rhyme-conforming;rhyme-ن;short;surah-11;vocative,Poses a rhetorical question
11,31,meccan,123,31,ن,middle,13,divine-names;divine-names(1);hapax;iltifat;jinas;long;meccan;mentions-Allah;pos-middle;quotation;rhyme-conforming;rhyme-ن;surah-11,Issues a negative command
11,32,meccan,59,14,ن,middle,14,contains-vocative-en;covenant;iltifat;imperative;jinas;meccan;medium;pos-middle;quotation;rhyme-conforming;rhyme-ن;surah-11;vocative;vocative-topic,Narrates reported speech
11,33,meccan,38,10,ن,middle,13,contains-innama;divine-names;divine-names(1);iltifat;innama;meccan;mentions-Allah;pos-middle;quotation;rhyme-conforming;rhyme-ن;short;surah-11,Narrates reported speech
11,34,meccan,66,18,ن,middle,12,divine-names;divine-names(1);hapax;iltifat;jinas;meccan;medium;mentions-Allah;pos-middle;rhyme-conforming;rhyme-ن;surah-11,Describes the divine self
11,35,meccan,52,12,ن,middle,16,balagha;contains-question;convergence;hapax;iltifat;imperative;jinas;meccan;medium;muqattaat-gradient;pos-middle;qul-say-opener;quotation;rhyme-conforming;rhyme-ن;surah-11,Poses a rhetorical question
11,36,meccan,58,17,ن,middle,8,iltifat;jinas;meccan;medium;pos-middle;rhyme-conforming;rhyme-ن;surah-11,Issues a negative command
11,37,meccan,55,11,ن,middle,10,body-part;iltifat;imperative;meccan;medium;muhkam-mutashabih;pos-middle;rhyme-conforming;rhyme-ن;surah-11,Declares or asserts
11,38,meccan,73,19,ن,middle,9,iltifat;jinas;meccan;medium;pos-middle;quotation;rhyme-conforming;rhyme-ن;surah-11,Declares or asserts
11,39,meccan,42,10,م,middle,8,iltifat;jinas;meccan;pos-middle;rhyme-deviation;rhyme-م;short;surah-11,Warns of punishment
11,40,meccan,94,26,ل,middle,12,dual-form;dual-form-topic;iltifat;imperative;jinas;meccan;medium;pos-middle;quotation;rhyme-deviation;rhyme-ل;surah-11,Declares or asserts
11,41,meccan,48,11,م,middle,13,divine-names;divine-names(1);hapax;iltifat;imperative;meccan;mentions-Allah;pos-middle;quotation;rhyme-deviation;rhyme-م;short;surah-11,Narrates reported speech
11,42,meccan,73,20,ن,middle,14,hapax;iltifat;imperative;jinas;kinship;meccan;medium;pos-middle;prohibitive;rhyme-conforming;rhyme-ن;surah-11;vocative;water,Describes a sign in nature
11,43,meccan,86,23,ن,middle,13,divine-names;divine-names(1);dual-form;iltifat;jinas;meccan;medium;mentions-Allah;pos-middle;quotation;rhyme-conforming;rhyme-ن;surah-11,Narrates reported speech
11,44,meccan,84,19,ن,middle,16,contains-vocative-en;hapax;historical-details;iltifat;imperative;jinas;meccan;medium;pos-middle;quotation;rhyme-conforming;rhyme-ن;sacred-geo;surah-11;vocative;vocative-topic,Narrates reported speech
11,45,meccan,56,15,ن,middle,10,covenant;iltifat;jinas;meccan;medium;pos-middle;quotation;rhyme-conforming;rhyme-ن;surah-11,Narrates reported speech
11,46,meccan,76,24,ن,middle,12,contains-vocative-en;iltifat;jinas;kinship;meccan;medium;pos-middle;quotation;rhyme-conforming;rhyme-ن;surah-11;vocative,Narrates reported speech
11,47,meccan,63,19,ن,middle,9,ikhlas-muawwidhat-finding;iltifat;meccan;medium;pos-middle;quotation;rhyme-conforming;rhyme-ن;surah-11,Narrates reported speech
11,48,meccan,72,19,م,middle,12,contains-vocative-en;iltifat;imperative;jinas;meccan;medium;pos-middle;quotation;rhyme-deviation;rhyme-م;surah-11;vocative,Narrates reported speech
11,49,meccan,75,19,ن,middle,8,iltifat;imperative;meccan;medium;pos-middle;rhyme-conforming;rhyme-ن;surah-11,Declares or asserts
11,50,meccan,63,18,ن,middle,18,divine-names;divine-names(1);iltifat;imperative;intra-xref;jinas;meccan;medium;mentions-Allah;mutashabih-lafzi;mutashabih-topic;negation;pos-middle;quotation;rhyme-conforming;rhyme-ن;surah-11;vocative,Narrates reported speech
11,51,meccan,52,14,ن,middle,14,contains-question;contains-vocative-ar;contains-vocative-en;iltifat;jinas;meccan;medium;pos-middle;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;surah-11;vocative,Poses a rhetorical question
11,52,meccan,82,18,ن,middle,11,iltifat;imperative;jinas;meccan;medium;pos-middle;prohibitive;rhyme-conforming;rhyme-ن;surah-11;vocative,Issues an imperative command
11,53,meccan,61,16,ن,middle,12,contains-vocative-en;iltifat;jinas;meccan;medium;pos-middle;quotation;rhyme-conforming;rhyme-ن;surah-11;vocative;vocative-topic,Narrates reported speech
11,54,meccan,65,16,ن,middle,14,divine-names;divine-names(1);hapax;iltifat;imperative;jinas;meccan;medium;mentions-Allah;pos-middle;quotation;rhyme-conforming;rhyme-ن;surah-11,Declares or asserts
11,55,meccan,28,7,ن,middle,10,iltifat;info-theory;meccan;numerical-coincidence;pos-middle;prohibitive;rhyme-conforming;rhyme-ن;short;surah-11,Issues an imperative command
11,56,meccan,65,18,م,middle,12,animal;divine-names;divine-names(1);iltifat;jinas;meccan;medium;mentions-Allah;pos-middle;rhyme-deviation;rhyme-م;surah-11,Affirms with emphatic particle
11,57,meccan,81,21,ظ,middle,9,iltifat;info-theory;jinas;meccan;medium;pos-middle;rhyme-deviation;rhyme-ظ;surah-11,Declares or asserts
11,58,meccan,61,14,ظ,middle,9,iltifat;intra-xref;jinas;meccan;medium;pos-middle;rhyme-deviation;rhyme-ظ;surah-11,Warns of punishment
11,59,meccan,50,12,د,middle,7,iltifat;meccan;pos-middle;rhyme-deviation;rhyme-د;short;surah-11,Narrates prophetic history
11,60,meccan,68,17,د,middle,7,jinas;meccan;medium;pos-middle;rhyme-deviation;rhyme-د;surah-11,Describes an eschatological scene
11,61,meccan,111,28,ب,middle,19,divine-names;divine-names(1);hapax;iltifat;imperative;intra-xref;jinas;meccan;medium;mentions-Allah;muqattaat-gradient;mutashabih-topic;negation;pos-middle;quotation;rhyme-deviation;rhyme-ب;surah-11;vocative,Narrates reported speech
11,62,meccan,83,22,ب,middle,20,contains-question;contains-vocative-en;form-content-outlier;hapax;iltifat;iltifat-topic;jinas;meccan;medium;negation;pos-middle;quotation;rhetorical-Q;rhetorical-Q-topic;rhetorical-question;rhyme-deviation;rhyme-ب;surah-11;vocative;vocative-topic,Poses a rhetorical question
11,63,meccan,85,23,ر,middle,18,contains-question;contains-vocative-en;divine-names;divine-names(1);hapax;iltifat;intra-xref;meccan;medium;mentions-Allah;pos-middle;quotation;rhetorical-Q;rhetorical-question;rhyme-deviation;rhyme-ر;surah-11;vocative,Poses a rhetorical question
11,64,meccan,70,18,ب,middle,16,animal;divine-names;divine-names(1);iltifat;imperative;jinas;meccan;medium;mentions-Allah;pos-middle;prohibitive;rhyme-deviation;rhyme-ب;surah-11;vocative;weapon,Warns of punishment
11,65,meccan,47,11,ب,middle,11,hapax;iltifat;imperative;meccan;numerical-coincidence;pos-middle;quotation;rhyme-deviation;rhyme-ب;short;surah-11,Narrates reported speech
11,66,meccan,73,18,ز,middle,13,divine-name-pair-ending;divine-names;divine-names(2);divine-names-topic;ends-divine-pair;iltifat;intra-xref;meccan;medium;pos-middle;rhyme-deviation;rhyme-ز;surah-11,Declares or asserts
11,67,meccan,41,8,ن,middle,7,meccan;pos-middle;rhyme-conforming;rhyme-ن;short;surah-11;weapon,Declares or asserts
11,68,meccan,44,12,د,middle,6,meccan;pos-middle;rhyme-deviation;rhyme-د;short;surah-11,Declares or asserts
11,69,meccan,63,15,ذ,middle,14,angel;hapax;iltifat;intra-xref;jinas;meccan;medium;palindrome;pos-middle;prophet-micro-ring;quotation;rhyme-deviation;rhyme-ذ;surah-11,Narrates prophetic history
11,70,meccan,68,18,ط,middle,13,hapax;iltifat;jinas;meccan;medium;phonaesthetic;pos-middle;prohibitive;quotation;rhyme-deviation;rhyme-ط;surah-11;vocative-topic,Declares or asserts
11,71,meccan,48,9,ب,middle,8,iltifat;kinship;meccan;pos-middle;rhyme-deviation;rhyme-ب;short;surah-11,Declares or asserts
11,72,meccan,48,13,ب,middle,14,contains-question;iltifat;kinship;meccan;muqattaat;pos-middle;quotation;rhetorical-Q;rhetorical-question;rhyme-deviation;rhyme-ب;short;surah-11;vocative,Poses a rhetorical question
11,73,meccan,60,14,د,middle,16,contains-question;divine-names;divine-names(1);iltifat;intra-xref;jinas;meccan;medium;mentions-Allah;pos-middle;quotation;rhetorical-Q;rhetorical-question;rhyme-deviation;rhyme-د;surah-11,Poses a rhetorical question
11,74,meccan,48,11,ط,middle,8,hapax;iltifat;meccan;pos-middle;rhyme-deviation;rhyme-ط;short;surah-11,Describes an eschatological scene
11,75,meccan,22,5,ب,middle,6,meccan;pos-middle;rhyme-deviation;rhyme-ب;short;surah-11,Affirms with emphatic particle
11,76,meccan,54,15,د,middle,12,contains-vocative-ar;contains-vocative-en;iltifat;imperative;meccan;medium;pos-middle;rhyme-deviation;rhyme-د;surah-11;vocative;vocative-topic,Narrates reported speech
11,77,meccan,48,13,ب,middle,10,angel;hapax;iltifat;meccan;pos-middle;quotation;rhyme-deviation;rhyme-ب;short;surah-11,Narrates prophetic history
11,78,meccan,109,27,د,middle,19,contains-question;divine-names;divine-names(1);iltifat;imperative;jinas;kinship;meccan;medium;mentions-Allah;pos-middle;prohibitive;quotation;rhetorical-Q;rhetorical-question;rhyme-deviation;rhyme-د;surah-11;vocative,Poses a rhetorical question
11,79,meccan,43,13,د,middle,9,iltifat;jinas;meccan;pos-middle;quotation;rhyme-deviation;rhyme-د;short;surah-11,Narrates reported speech
11,80,meccan,30,11,د,middle,8,iltifat;meccan;pos-middle;quotation;rhyme-deviation;rhyme-د;short;surah-11,Narrates reported speech
11,81,meccan,118,30,ب,middle,17,contains-question;contains-vocative-en;hapax;iltifat;imperative;jinas;meccan;medium;pos-middle;quotation;rhetorical-Q;rhetorical-question;rhyme-deviation;rhyme-ب;surah-11;vocative;yawm,Poses a rhetorical question
11,82,meccan,57,12,د,middle,9,iltifat;loan-word;meccan;medium;metal-mineral;pos-middle;rhyme-deviation;rhyme-د;surah-11,Describes a sign in nature
11,83,meccan,31,8,د,middle,7,iltifat;meccan;pos-middle;rhyme-deviation;rhyme-د;short;surah-11,Warns of punishment
11,84,meccan,110,27,ط,middle,19,divine-names;divine-names(1);iltifat;imperative;intra-xref;jinas;meccan;medium;mentions-Allah;mutashabih-topic;negation;pos-middle;prohibitive;quotation;rhyme-deviation;rhyme-ط;sacred-geo;surah-11;vocative,Narrates reported speech
11,85,meccan,74,15,ن,middle,10,iltifat;imperative;meccan;medium;pos-middle;prohibitive;rhyme-conforming;rhyme-ن;surah-11;vocative,Issues an imperative command
11,86,meccan,42,11,ظ,middle,10,divine-names;divine-names(1);iltifat;meccan;mentions-Allah;pos-middle;rhyme-deviation;rhyme-ظ;short;surah-11,Describes the divine self
11,87,meccan,82,21,د,middle,19,contains-question;contains-vocative-en;divine-name-pair-ending;divine-names;divine-names(2);divine-names-topic;ends-divine-pair;iltifat;meccan;medium;pos-middle;quotation;rhetorical-Q;rhetorical-question;rhyme-deviation;rhyme-د;surah-11;vocative;vocative-topic,Poses a rhetorical question
11,88,meccan,137,36,ب,middle,17,contains-question;contains-vocative-en;divine-names;divine-names(1);iltifat;jinas;long;meccan;mentions-Allah;pos-middle;quotation;rhetorical-Q;rhetorical-question;rhyme-deviation;rhyme-ب;surah-11;vocative,Poses a rhetorical question
11,89,meccan,78,23,د,middle,10,iltifat;jinas;meccan;medium;parable;pos-middle;rhyme-deviation;rhyme-د;surah-11;vocative,Narrates prophetic history
11,90,meccan,37,9,د,middle,9,iltifat;imperative;jinas;meccan;pos-middle;rhyme-deviation;rhyme-د;short;surah-11,Issues an imperative command
11,91,meccan,79,19,ز,middle,11,contains-vocative-en;iltifat;jinas;meccan;medium;pos-middle;quotation;rhyme-deviation;rhyme-ز;surah-11;vocative,Narrates reported speech
11,92,meccan,65,16,ط,middle,17,contains-question;contains-vocative-en;divine-names;divine-names(1);hapax;iltifat;meccan;medium;mentions-Allah;pos-middle;quotation;rhetorical-Q;rhetorical-question;rhyme-deviation;rhyme-ط;surah-11;vocative,Poses a rhetorical question
11,93,meccan,82,20,ب,late,10,iltifat;imperative;jinas;meccan;medium;pos-late;rhyme-deviation;rhyme-ب;surah-11;vocative,Warns of punishment
11,94,meccan,86,18,ن,late,8,iltifat;intra-xref;meccan;medium;pos-late;rhyme-conforming;rhyme-ن;surah-11,Declares or asserts
11,95,meccan,37,10,د,late,8,jinas;meccan;pos-late;rhyme-deviation;rhyme-د;sacred-geo;short;surah-11,Declares or asserts
11,96,meccan,31,6,ن,late,9,cosmology-audit;iltifat;meccan;mutashabih-lafzi;pos-late;rhyme-conforming;rhyme-ن;short;surah-11,Narrates prophetic history
11,97,meccan,44,10,د,late,9,iltifat;jinas;meccan;moses-finding;pos-late;rhyme-deviation;rhyme-د;short;surah-11,Issues an imperative command
11,98,meccan,46,9,د,late,8,hapax;jinas;meccan;pos-late;rhyme-deviation;rhyme-د;short;surah-11,Describes an eschatological scene
11,99,meccan,42,9,د,late,9,hapax;jinas;meccan;muqattaat-gradient;pos-late;rhyme-deviation;rhyme-د;short;surah-11,Describes an eschatological scene
11,100,meccan,36,9,د,late,7,iltifat;meccan;pos-late;rhyme-deviation;rhyme-د;short;surah-11,Declares or asserts
11,101,meccan,94,24,ب,late,13,divine-names;divine-names(1);hapax;iltifat;intra-xref;jinas;meccan;medium;mentions-Allah;pos-late;rhyme-deviation;rhyme-ب;surah-11,Declares or asserts
11,102,meccan,44,12,د,late,8,iltifat;jinas;meccan;pos-late;rhyme-deviation;rhyme-د;short;surah-11,Declares or asserts
11,103,meccan,57,16,د,late,8,jinas;meccan;medium;muqattaat;pos-late;rhyme-deviation;rhyme-د;surah-11,Warns of punishment
11,104,meccan,20,5,د,late,9,hapax;iltifat;meccan;pos-late;rhyme-deviation;rhyme-د;surah-11;ultra-short;verse-length-outlier,Issues a negative command
11,105,meccan,36,10,د,late,8,hapax;iltifat;meccan;pos-late;rhyme-deviation;rhyme-د;short;surah-11,Issues a negative command
11,106,meccan,37,9,ق,late,6,meccan;pos-late;rhyme-deviation;rhyme-ق;short;surah-11,Declares or asserts
11,107,meccan,57,15,د,late,8,iltifat;jinas;meccan;medium;pos-late;rhyme-deviation;rhyme-د;surah-11,Describes a sign in nature
11,108,meccan,75,18,ذ,late,8,hapax;iltifat;meccan;medium;pos-late;rhyme-deviation;rhyme-ذ;surah-11,Promises reward to the believers
11,109,meccan,77,20,ص,late,10,hapax;iltifat;jinas;meccan;medium;pos-late;prohibitive;rhyme-deviation;rhyme-ص;surah-11,Issues a negative command
11,110,meccan,72,18,ب,late,9,iltifat;meccan;medium;mutashabih-lafzi;mutashabih-topic;pos-late;rhyme-deviation;rhyme-ب;surah-11,Issues an imperative command
11,111,meccan,43,10,ر,late,8,iltifat;jinas;meccan;pos-late;rhyme-deviation;rhyme-ر;short;surah-11,Declares or asserts
11,112,meccan,46,12,ر,late,9,iltifat;imperative;meccan;pos-late;prohibitive;rhyme-deviation;rhyme-ر;short;surah-11,Declares or asserts
11,113,meccan,66,17,ن,late,11,divine-names;divine-names(1);iltifat;meccan;medium;mentions-Allah;pos-late;prohibitive;rhyme-conforming;rhyme-ن;surah-11,Issues a negative command
11,114,meccan,68,14,ن,late,11,dual-form;iltifat;imperative;jinas;meccan;medium;pos-late;rhyme-conforming;rhyme-ن;surah-11;time-vocab,Issues an imperative command
11,115,meccan,29,7,ن,late,11,divine-names;divine-names(1);iltifat;imperative;meccan;mentions-Allah;pos-late;rhyme-conforming;rhyme-ن;short;surah-11,Issues an imperative command
11,116,meccan,110,26,ن,late,9,contains-question;iltifat;jinas;meccan;medium;pos-late;rhyme-conforming;rhyme-ن;surah-11,Poses a rhetorical question
11,117,meccan,35,8,ن,late,8,iltifat;meccan;negation;pos-late;rhyme-conforming;rhyme-ن;short;surah-11,Declares or asserts
11,118,meccan,42,10,ن,late,7,iltifat;meccan;pos-late;rhyme-conforming;rhyme-ن;short;surah-11,Declares or asserts
11,119,meccan,61,15,ن,late,9,iltifat;jinas;jinn;meccan;medium;pos-late;rhyme-conforming;rhyme-ن;surah-11,Issues an imperative command
11,120,meccan,69,17,ن,late,8,iltifat;meccan;medium;pos-late;qalb-theology;rhyme-conforming;rhyme-ن;surah-11,Narrates prophetic history
11,121,meccan,41,9,ن,late,11,iltifat;imperative;jinas;meccan;pos-late;qul-say-opener;quotation;rhyme-conforming;rhyme-ن;short;surah-11,Issues a negative command
11,122,meccan,18,3,ن,late,10,iltifat;imperative;jinas;meccan;numerical-coincidence;pos-late;rhyme-conforming;rhyme-ن;surah-11;ultra-short,Declares or asserts
11,123,meccan,73,16,ن,closing,11,divine-names;divine-names(1);iltifat;imperative;meccan;medium;pos-closing;rhyme-conforming;rhyme-ن;surah-11;surah-closer,Describes a sign in nature
12,1,meccan,22,5,ن,opening,16,deep-hypothesis;hapax-topic;meccan;moses-finding;muqatta-opener;muqattaat-opener;mutashabih-lafzi;pos-opening;prophet-micro-ring;prophet-pericope;rhyme-conforming;rhyme-ن;self-reference;short;surah-12;surah-opener,Utters disconnected letters
12,2,meccan,31,6,ن,early,9,iltifat;meccan;mutashabih-lafzi;pos-early;rhyme-conforming;rhyme-ن;self-reference;short;surah-12,Affirms with emphatic particle
12,3,meccan,64,16,ن,early,15,elative;iltifat;intra-xref;jinas;meccan;medium;numerical-sequence;pos-early;prophet-pericope;quotation-topic;rhyme-conforming;rhyme-ن;self-reference;surah-12;surah-boundary,Declares or asserts
12,4,meccan,63,16,ن,early,15,famous-number;gematria;iltifat;jinas;meccan;medium;numerical-coincidence;pos-early;prophet-micro-ring;prophet-pericope;quotation;rhyme-conforming;rhyme-ن;surah-12;vocative,Narrates reported speech
12,5,meccan,63,16,ن,early,19,chrono-critical;contains-vocative-en;dual-form-topic;hapax-topic;iblis;iltifat;jinas;kinship;meccan;medium;numerical-sequence;pos-early;prohibitive;quotation;rahman-finding;rhyme-conforming;rhyme-ن;surah-12;vocative,Narrates reported speech
12,6,meccan,106,25,م,early,10,dual-form;iltifat;jinas;meccan;medium;numerical-sequence;pos-early;rhyme-deviation;rhyme-م;surah-12,Narrates prophetic history
12,7,meccan,30,7,ن,early,8,kinship;meccan;pos-early;prophet-micro-ring;rhyme-conforming;rhyme-ن;short;surah-12,Declares or asserts
12,8,meccan,57,15,ن,early,11,chrono-critical;iltifat;iltifat-topic;jinas;meccan;medium;pos-early;quotation;rhyme-conforming;rhyme-ن;surah-12,Narrates a past dialogue
12,9,meccan,59,14,ن,early,9,hapax;iltifat;imperative;meccan;medium;pos-early;rhyme-conforming;rhyme-ن;surah-12,Declares or asserts
12,10,meccan,68,16,ن,early,11,iltifat;imperative;jinas;meccan;medium;pos-early;prohibitive;quotation;rhyme-conforming;rhyme-ن;surah-12,Narrates reported speech
12,11,meccan,43,12,ن,early,11,contains-question;contains-vocative-en;iltifat;meccan;pos-early;quotation;rhyme-conforming;rhyme-ن;short;surah-12;vocative,Poses a rhetorical question
12,12,meccan,34,8,ن,early,9,hapax;iltifat;imperative;meccan;pos-early;rhyme-conforming;rhyme-ن;short;surah-12,Declares or asserts
12,13,meccan,54,13,ن,early,10,animal;iltifat;jinas;meccan;medium;pos-early;quotation;rhyme-conforming;rhyme-ن;surah-12,Narrates reported speech
12,14,meccan,38,9,ن,early,10,animal;iltifat;meccan;muqattaat-gradient;pos-early;quotation;rhyme-conforming;rhyme-ن;short;surah-12,Narrates reported speech
12,15,meccan,76,17,ن,early,7,iltifat;meccan;medium;pos-early;rhyme-conforming;rhyme-ن;surah-12,Declares or asserts
12,16,meccan,20,4,ن,early,6,meccan;pos-early;rhyme-conforming;rhyme-ن;surah-12;ultra-short,Declares or asserts
12,17,meccan,80,19,ن,early,12,animal;contains-vocative-en;iltifat;meccan;medium;muqattaat;pos-early;quotation;rhyme-conforming;rhyme-ن;surah-12;vocative,Narrates reported speech
