surah,verse,n_tags,tags,brief_note
4,38,3,divine-names;graph-theory;yawm,divine-names=2 name(s): al-Akhir|Allah | graph-theory=graph-theory-roots.md | yawm=yawm-catalog.md
4,39,4,divine-names;jinas;rhetorical-question;yawm,divine-names=2 name(s): al-Akhir|Allah | jinas=jinas-wordplay.md | rhetorical-question=other-question markers=maA*aA | yawm=yawm-catalog.md
4,40,2,divine-names;phonaesthetic,divine-names=1 name(s): Allah | phonaesthetic=phonaesthetics.md
4,41,4,chiastic;iltifat;rhetorical-question;ring-center,chiastic=chiastic-audit.md | iltifat=intra-strict:verb_plus_indep_pron; inter:3->1 | rhetorical-question=kayfa-reproach-or-wonder markers=kayof | ring-center=ring-center-semantics.md
4,42,4,chrono-critical;divine-names;hapax;iltifat,"chrono-critical=chronological-revelation.md | divine-names=1 name(s): Allah | hapax=lemma-hapax:tusaw~aY` (lemma=tusaw~aY`, root=swy) | iltifat=inter:1->3"
4,43,12,divine-names;hapax;iltifat;imperative;naskh;numerical-coincidence;phonaesthetic;prohibitive;quotation;sensory;vocative;water,"divine-names=1 name(s): Allah | hapax=lemma-hapax:EaAbiriY (lemma=EaAbiriY, root=Ebr) | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=tayam~amu | naskh=naskh-catalog.md"
4,44,2,iltifat;rhetorical-question,iltifat=intra-strict:two_verbs; inter:2->3 | rhetorical-question=rhetorical-negation (inkārī) markers=a-
4,45,4,code19-audit;divine-names;intra-xref;jinas,code19-audit=code19-khalifa-full-audit.md | divine-names=1 name(s): Allah | intra-xref=intra-quranic-cross-references.md | jinas=jinas-wordplay.md
4,46,14,divine-names;form-content-outlier;hapax;iltifat;imperative;intra-xref;jesus-engagement;jinas;muqattaat;phonaesthetic;quotation;razi-99names;scripture-ref;sensory,"divine-names=1 name(s): Allah | form-content-outlier=form-meets-content-outliers.md | hapax=lemma-hapax:TaEon (lemma=TaEon, root=TEn) | iltifat=intra-strict:two_verbs | imperative=samiEa"
4,47,4,divine-names;iltifat;imperative;phonaesthetic,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs; inter:3->1 | imperative='aAmana | phonaesthetic=phonaesthetics.md
4,48,9,chrono-critical;convergence;divine-names;iltifat;muhkam-mutashabih;muqattaat;phonaesthetic;scholar-commentary;shirk,chrono-critical=chronological-revelation.md | convergence=convergence-analysis.md | divine-names=1 name(s): Allah | iltifat=inter:1->3 | muhkam-mutashabih=muhkam-mutashabih.md
4,49,4,divine-names;iltifat;info-theory;rhetorical-question,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | info-theory=information-theory.md | rhetorical-question=rhetorical-negation (inkārī) markers=a-
4,50,6,divine-names;iltifat;imperative;muqattaat-gradient;numerical-coincidence;rhetorical-question,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | imperative=n~aZara | muqattaat-gradient=muqattaat-positional-gradient.md | numerical-coincidence=numerical-coincidences.md
4,51,4,hapax;iltifat;quotation;rhetorical-question,"hapax=root-hapax:jbt (lemma=jibot, root=jbt) | iltifat=intra-strict:two_verbs | quotation=yaquluna speaker=Disbelievers | rhetorical-question=rhetorical-negation (inkārī) markers=a-"
4,52,2,divine-names;iltifat,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs
4,53,1,rahma-derivative,rahma-derivative=rahma-derivatives-audit.md
4,54,4,divine-names;iltifat;jesus-engagement;jinas,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | jesus-engagement=jc-engagement.md | jinas=jinas-wordplay.md
4,56,4,body-part;divine-names;hapax;iltifat,"body-part=body-parts.md | divine-names=1 name(s): Allah | hapax=root-hapax:nDj (lemma=naDijato, root=nDj) | iltifat=intra-strict:two_verbs"
4,57,3,iltifat;numerical-coincidence;phonaesthetic,iltifat=intra-strict:two_verbs | numerical-coincidence=numerical-coincidences.md | phonaesthetic=phonaesthetics.md
4,58,4,divine-names;iltifat;jinas;sensory,divine-names=2 name(s): al-Adl|Allah | iltifat=intra-strict:two_verbs; inter:3->2 | jinas=jinas-wordplay.md | sensory=sensory-vocabulary.md
4,59,6,divine-names;iltifat;imperative;jinas;vocative;yawm,divine-names=2 name(s): al-Akhir|Allah | iltifat=intra-strict:two_verbs | imperative=>aTaAEa | jinas=jinas-wordplay.md | vocative=O_believers
4,60,3,hapax;iltifat;rhetorical-question,"hapax=lemma-hapax:yataHaAkamu (lemma=yataHaAkamu, root=Hkm) | iltifat=intra-strict:two_verbs; inter:2->3 | rhetorical-question=rhetorical-negation (inkārī) markers=a-"
4,61,7,chiastic;divine-names;hapax;iltifat;imperative;quotation;ring-center,"chiastic=chiastic-audit.md | divine-names=1 name(s): Allah | hapax=lemma-hapax:Suduwd (lemma=Suduwd, root=Sdd) | iltifat=intra-strict:two_verbs | imperative=taEaAla"
4,62,4,divine-names;iltifat;phonaesthetic;rhetorical-question,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | phonaesthetic=phonaesthetics.md | rhetorical-question=kayfa-reproach-or-wonder markers=kayof
4,63,7,divine-names;hapax;iltifat;imperative;nafs-theology;qul-say-opener;quotation,"divine-names=1 name(s): Allah | hapax=lemma-hapax:baliyg (lemma=baliyg, root=blg) | iltifat=intra-strict:two_verbs | imperative=>aEoraDa | nafs-theology=nafs-theology.md"
4,64,4,divine-names;iltifat;jinas;muqattaat-gradient,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | jinas=jinas-wordplay.md | muqattaat-gradient=muqattaat-positional-gradient.md
4,65,3,hapax;iltifat;muqattaat-gradient,"hapax=lemma-hapax:$ajara (lemma=$ajara, root=$jr) | iltifat=intra-strict:two_verbs | muqattaat-gradient=muqattaat-positional-gradient.md"
4,66,2,iltifat;imperative,iltifat=intra-strict:two_verbs | imperative=qatala
4,67,3,iltifat;intra-xref;verse-length-outlier,iltifat=inter:3->1 | intra-xref=intra-quranic-cross-references.md | verse-length-outlier=verse-length-sequences.md
4,68,6,convergence;cross-textual;fatiha-finding;muqattaat;numerical-coincidence;scholar-commentary,convergence=convergence-analysis.md | cross-textual=cross-textual-baseline.md | fatiha-finding=al-fatiha-deep-dive.md | muqattaat=muqattaat-analysis.md | numerical-coincidence=numerical-coincidences.md
4,69,5,divine-names;fatiha-finding;hapax;iltifat;info-theory,"divine-names=1 name(s): Allah | fatiha-finding=al-fatiha-deep-dive.md | hapax=lemma-hapax:rafiyq (lemma=rafiyq, root=rfq) | iltifat=inter:1->3 | info-theory=information-theory.md"
4,70,4,divine-names;info-theory;numerical-coincidence;verse-length-outlier,divine-names=1 name(s): Allah | info-theory=information-theory.md | numerical-coincidence=numerical-coincidences.md | verse-length-outlier=verse-length-sequences.md
4,71,4,hapax;iltifat;imperative;vocative,"hapax=root-hapax:vby (lemma=vubaAt, root=vby) | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=>axa*a | vocative=O_believers"
4,72,4,divine-names;hapax;iltifat;quotation,"divine-names=1 name(s): Allah | hapax=root-hapax:bTA (lemma=yubaT~i}a, root=bTA) | iltifat=intra-strict:two_verbs; inter:2->3 | quotation=qala speaker=UNCLASSIFIED"
4,73,7,chiastic;cross-textual;divine-names;iltifat;quotation;ring-center;vocative,chiastic=chiastic-audit.md | cross-textual=cross-textual-baseline.md | divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | quotation=yaqulu speaker=UNCLASSIFIED
4,74,4,divine-names;iltifat;jinas;weapon,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | jinas=jinas-wordplay.md | weapon=weapons-warfare.md
4,75,9,divine-names;iltifat;imperative;intra-xref;phonaesthetic;quotation;rhetorical-question;verse-length-outlier;weapon,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=>axoraja | intra-xref=intra-quranic-cross-references.md | phonaesthetic=phonaesthetics.md
4,76,5,divine-names;iltifat;imperative;jinas;weapon,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs; inter:2->3 | imperative=qa`tala | jinas=jinas-wordplay.md | weapon=weapons-warfare.md
4,77,13,divine-names;emotion;iltifat;imperative;imperative-topic;jinas;phonaesthetic;prohibitive;qul-say-opener;quotation;rhetorical-question;salah;zakat,divine-names=1 name(s): Allah | emotion=emotion-vocabulary.md | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=kaf~a | imperative-topic=imperative-mood.md
4,78,11,chiastic;divine-names;hapax;iltifat;imperative;intra-xref;jinas;prophet-micro-ring;qul-say-opener;quotation;rhetorical-question,"chiastic=chiastic-audit.md | divine-names=1 name(s): Allah | hapax=lemma-hapax:m~u$ay~adap (lemma=m~u$ay~adap, root=$yd) | iltifat=intra-strict:two_verbs; inter:2->3 | imperative=qaAla"
4,79,4,divine-names;iltifat;muqattaat-gradient;phonaesthetic,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | muqattaat-gradient=muqattaat-positional-gradient.md | phonaesthetic=phonaesthetics.md
4,80,2,divine-names;iltifat,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs
4,81,5,divine-names;iltifat;imperative;jinas;quotation,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | imperative=>aEoraDa | jinas=jinas-wordplay.md | quotation=yaquluna speaker=Iblis/Satan
4,82,3,divine-names;rhetorical-Q-topic;rhetorical-question,divine-names=1 name(s): Allah | rhetorical-Q-topic=rhetorical-questions.md | rhetorical-question=rhetorical-negation (inkārī) markers=a-
4,83,4,divine-names;hapax;iltifat;palindrome,"divine-names=1 name(s): Allah | hapax=root-hapax:*yE (lemma=>a*aAEu, root=*yE) | iltifat=intra-strict:two_verbs | palindrome=palindromes.md"
4,84,7,divine-names;hapax;iltifat;imperative;info-theory;jinas;weapon,"divine-names=1 name(s): Allah | hapax=lemma-hapax:tankiyl (lemma=tankiyl, root=nkl) | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=qa`tala | info-theory=information-theory.md"
4,85,6,chrono-critical;divine-names;hapax;iltifat;jinas;phonaesthetic,"chrono-critical=chronological-revelation.md | divine-names=1 name(s): Allah | hapax=lemma-hapax:m~uqiyt (lemma=m~uqiyt, root=qwt) | iltifat=inter:2->3 | jinas=jinas-wordplay.md"
4,86,5,divine-names;elative;iltifat;imperative;jinas,divine-names=1 name(s): Allah | elative=elative-forms.md | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=Hay~a | jinas=jinas-wordplay.md
4,87,11,ayat-al-kursi-finding;chiastic;classical-xref;divine-names;divine-names-topic;elative;iltifat;jinas;negation;scholar-commentary;tawhid,ayat-al-kursi-finding=ayat-al-kursi.md | chiastic=chiastic-audit.md | classical-xref=classical-cross-references.md | divine-names=1 name(s): Allah | divine-names-topic=divine-names-distribution.md
4,88,8,divine-names;dual-form;hapax;iltifat;jinas;phonaesthetic;rhetorical-Q-topic;rhetorical-question,"divine-names=1 name(s): Allah | dual-form=fi}ap | hapax=root-pair:rks (lemma=>arokasa, root=rks) | iltifat=intra-strict:two_verbs | jinas=jinas-wordplay.md"
4,89,8,divine-names;iltifat;imperative;jinas;numerical-sequence;phonaesthetic;prohibitive;weapon,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=>axa*a | jinas=jinas-wordplay.md | numerical-sequence=numerical-sequences.md
4,90,5,covenant;divine-names;iltifat;jinas;surah-boundary,covenant=covenant-language.md | divine-names=1 name(s): Allah | iltifat=intra-strict:verb_plus_indep_pron; inter:2->3 | jinas=jinas-wordplay.md | surah-boundary=surah-boundaries.md
4,91,3,hapax;iltifat;imperative,"hapax=root-pair:rks (lemma=>arokasa, root=rks) | iltifat=intra-strict:two_verbs | imperative=>axa*a"
4,92,10,covenant;divine-names;dual-form;fasting;iltifat;jinas;negation;rahma-baseline;weapon;zakat,covenant=covenant-language.md | divine-names=1 name(s): Allah | dual-form=$ahor | fasting=fasting-theology.md | iltifat=intra-strict:verb_plus_indep_pron
4,93,2,divine-names;fatiha-finding,divine-names=1 name(s): Allah | fatiha-finding=al-fatiha-deep-dive.md
4,94,11,divine-names;divine-names-topic;iltifat;imperative;jinas;numerical-coincidence;palindrome;prohibitive;quotation;vocative;weapon,divine-names=2 name(s): al-Salam|Allah | divine-names-topic=divine-names-distribution.md | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=tabay~ana | jinas=jinas-wordplay.md
4,95,7,covenant;divine-names;hapax;iltifat;intra-xref;jinas;weapon,"covenant=covenant-language.md | divine-names=1 name(s): Allah | hapax=lemma-hapax:D~arar (lemma=D~arar, root=Drr) | iltifat=inter:2->3 | intra-xref=intra-quranic-cross-references.md"
4,96,6,cross-textual;divine-names;gematria;intra-xref;phonaesthetic;prime-mod,cross-textual=cross-textual-baseline.md | divine-names=1 name(s): Allah | gematria=gematria-landscape.md | intra-xref=intra-quranic-cross-references.md | phonaesthetic=phonaesthetics.md
4,97,9,angel;divine-names;form-content-outlier;iltifat;jinas;paired-opposite;quotation;rhetorical-Q-topic;rhetorical-question,angel=angels-catalog.md | divine-names=1 name(s): Allah | form-content-outlier=form-meets-content-outliers.md | iltifat=intra-strict:two_verbs | jinas=jinas-wordplay.md
4,98,3,hapax;phonaesthetic;razi-99names,"hapax=lemma-hapax:Hiylap (lemma=Hiylap, root=Hwl) | phonaesthetic=phonaesthetics.md | razi-99names=razi-99names-test.md"
4,99,2,divine-names;numerical-coincidence,divine-names=1 name(s): Allah | numerical-coincidence=numerical-coincidences.md
4,100,4,divine-names;hapax;jinas;weapon,"divine-names=1 name(s): Allah | hapax=root-hapax:rgm (lemma=mura`gam, root=rgm) | jinas=jinas-wordplay.md | weapon=weapons-warfare.md"
4,101,4,hajj;hapax;iltifat;salah,"hajj=hajj-theology.md | hapax=lemma-hapax:taqoSuru (lemma=taqoSuru, root=qSr) | iltifat=intra-strict:two_verbs; inter:3->2 | salah=salah-theology.md"
4,102,9,divine-names;hapax;iltifat;imperative;imperative-topic;jinas;numerical-coincidence;water;weapon,"divine-names=1 name(s): Allah | hapax=lemma-hapax:m~ayolap (lemma=m~ayolap, root=myl) | iltifat=intra-strict:two_verbs; inter:2->3 | imperative=>axa*a | imperative-topic=imperative-mood.md"
4,103,7,divine-names;hapax;iltifat;imperative;jinas;nafs-theology;salah,"divine-names=1 name(s): Allah | hapax=lemma-hapax:m~awoquwt (lemma=m~awoquwt, root=wqt) | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=*akara | jinas=jinas-wordplay.md"
4,104,4,divine-names;iltifat;jinas;prohibitive,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | jinas=jinas-wordplay.md | prohibitive
4,105,4,balagha;divine-names;iltifat;self-reference,balagha=balagha-mapping.md | divine-names=2 name(s): al-Haqq|Allah | iltifat=intra-strict:two_verbs; inter:2->1 | self-reference=quranic-self-reference.md
4,106,4,divine-names;iltifat;imperative;numerical-coincidence,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs; inter:1->2 | imperative={sotagofara | numerical-coincidence=numerical-coincidences.md
4,107,2,divine-names;iltifat,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs; inter:2->3
4,108,1,divine-names,divine-names=1 name(s): Allah
4,109,3,divine-names;iltifat;rhetorical-question,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | rhetorical-question=other-question markers=man
4,110,1,divine-names,divine-names=1 name(s): Allah
4,111,2,divine-names;innama,divine-names=1 name(s): Allah | innama=count=1
4,113,4,divine-names;iltifat;jinas;verse-length-outlier,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | jinas=jinas-wordplay.md | verse-length-outlier=verse-length-sequences.md
4,114,4,divine-names;iltifat;info-theory;zakat,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | info-theory=information-theory.md | zakat=zakat-charity.md
4,115,1,iltifat,iltifat=intra-strict:two_verbs
4,116,2,divine-names;shirk,divine-names=1 name(s): Allah | shirk=shirk-rhetoric.md
4,117,1,iblis,iblis=iblis-satan.md
4,118,3,divine-names;iltifat;quotation,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | quotation=qala speaker=Iblis/Satan
4,119,5,body-part;divine-names;hapax;iblis;iltifat,"body-part=body-parts.md | divine-names=1 name(s): Allah | hapax=root-hapax:btk (lemma=yubat~iku, root=btk) | iblis=iblis-satan.md | iltifat=intra-strict:two_verbs"
4,120,1,covenant,covenant=covenant-language.md
4,122,5,covenant;divine-names;elative;iltifat;rhetorical-question,covenant=covenant-language.md | divine-names=1 name(s): Allah | elative=elative-forms.md | iltifat=intra-strict:two_verbs | rhetorical-question=other-question markers=man
4,123,3,divine-names;jesus-engagement;numerical-coincidence,divine-names=1 name(s): Allah | jesus-engagement=jc-engagement.md | numerical-coincidence=numerical-coincidences.md
4,125,5,body-part;divine-names;elative;intra-xref;rhetorical-question,body-part=body-parts.md | divine-names=1 name(s): Allah | elative=elative-forms.md | intra-xref=intra-quranic-cross-references.md | rhetorical-question=other-question markers=man
4,126,1,divine-names,divine-names=1 name(s): Allah
4,127,7,asbab-nuzul;divine-names;iltifat;imperative;numerical-coincidence;qul-say-opener;quotation,asbab-nuzul=asbab-nuzul.md | divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=qaAla | numerical-coincidence=numerical-coincidences.md
4,128,5,divine-names;dual-form;hajj;iltifat;jinas,divine-names=1 name(s): Allah | dual-form=EalaY` | hajj=hajj-theology.md | iltifat=intra-strict:two_verbs; inter:2->3 | jinas=jinas-wordplay.md
4,129,4,divine-names;hapax;iltifat;prohibitive,"divine-names=1 name(s): Allah | hapax=lemma-hapax:muEal~aqap (lemma=muEal~aqap, root=Elq) | iltifat=intra-strict:two_verbs; inter:3->2 | prohibitive"
4,130,4,cosmology-audit;divine-names;dual-form;iltifat,cosmology-audit=cosmology-audit.md | divine-names=1 name(s): Allah | dual-form=tafar~aqa | iltifat=inter:2->3
4,131,5,divine-names;divine-names-topic;iltifat;imperative;jinas,divine-names=1 name(s): Allah | divine-names-topic=divine-names-distribution.md | iltifat=intra-strict:two_verbs; inter:3->2 | imperative={t~aqaY` | jinas=jinas-wordplay.md
4,132,4,divine-names;iltifat;muqattaat;numerical-coincidence,divine-names=1 name(s): Allah | iltifat=inter:2->3 | muqattaat=muqattaat-analysis.md | numerical-coincidence=numerical-coincidences.md
4,133,1,divine-names,divine-names=1 name(s): Allah
4,134,2,divine-names;sensory,divine-names=1 name(s): Allah | sensory=sensory-vocabulary.md
4,135,8,divine-names;dual-form;elative;iltifat;imperative;jinas;prohibitive;vocative,divine-names=1 name(s): Allah | dual-form=waAlid | elative=elative-forms.md | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=kaAna
4,136,6,divine-names;iltifat;imperative;jinas;vocative;yawm,divine-names=2 name(s): al-Akhir|Allah | iltifat=intra-strict:two_verbs; inter:2->3 | imperative='aAmana | jinas=jinas-wordplay.md | vocative=O_believers
4,137,2,divine-names;jinas,divine-names=1 name(s): Allah | jinas=jinas-wordplay.md
4,138,3,iltifat;imperative;numerical-coincidence,iltifat=intra-strict:verb_plus_indep_pron; inter:3->2 | imperative=bu$~ira | numerical-coincidence=numerical-coincidences.md
4,139,3,divine-names;iltifat;rhetorical-question,divine-names=1 name(s): Allah | iltifat=inter:2->3 | rhetorical-question=other-question markers=a-
4,140,4,divine-names;iltifat;parable;prohibitive,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | parable=E:sitting with mockers→ [mithluhum] | prohibitive
4,141,6,divine-names;iltifat;jinas;palindrome;quotation;rhetorical-question,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | jinas=jinas-wordplay.md | palindrome=palindromes.md | quotation=qalu speaker=Disbelievers
4,142,3,divine-names;hapax;jinas,"divine-names=1 name(s): Allah | hapax=lemma-hapax:xa`diE (lemma=xa`diE, root=xdE) | jinas=jinas-wordplay.md"
4,143,4,divine-names;hapax;iltifat;qalb-theology,"divine-names=1 name(s): Allah | hapax=root-hapax:*b*b (lemma=m~u*abo*abiyn, root=*b*b) | iltifat=intra-strict:two_verbs | qalb-theology=qalb-theology.md"
4,144,5,divine-names;iltifat;prohibitive;rhetorical-question;vocative,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs; inter:3->2 | prohibitive | rhetorical-question=other-question markers=a- | vocative=O_believers
4,145,3,elative;hapax;iltifat,"elative=elative-forms.md | hapax=lemma-hapax:d~arok (lemma=d~arok, root=drk) | iltifat=intra-strict:verb_plus_indep_pron"
4,146,3,divine-names;iltifat;jinas,divine-names=1 name(s): Allah | iltifat=inter:2->3 | jinas=jinas-wordplay.md
4,147,3,divine-names;iltifat;rhetorical-question,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs; inter:3->2 | rhetorical-question=other-question markers=maA
4,148,2,divine-names;iltifat,divine-names=1 name(s): Allah | iltifat=inter:2->3
4,149,2,divine-names;iltifat,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs; inter:3->2
4,150,4,divine-names;iltifat;numerical-coincidence;quotation,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs; inter:2->3 | numerical-coincidence=numerical-coincidences.md | quotation=yaquluna speaker=UNCLASSIFIED
4,151,1,iltifat,iltifat=intra-strict:verb_plus_indep_pron; inter:3->1
4,152,3,divine-names;iltifat;numerical-coincidence,divine-names=1 name(s): Allah | iltifat=inter:1->3 | numerical-coincidence=numerical-coincidences.md
4,153,6,divine-names;elative;iltifat;imperative;jesus-engagement;quotation,divine-names=1 name(s): Allah | elative=elative-forms.md | iltifat=intra-strict:two_verbs | imperative=>arayo | jesus-engagement=jc-engagement.md
4,154,7,covenant;iltifat;imperative;loan-word;prohibitive;quotation;sacred-geo,covenant=covenant-language.md | iltifat=intra-strict:two_verbs; inter:3->1 | imperative=daxala | loan-word=foreign-loan-words.md | prohibitive
4,155,5,covenant;divine-names;iltifat;qalb-theology;weapon,covenant=covenant-language.md | divine-names=1 name(s): Allah | iltifat=inter:1->3 | qalb-theology=qalb-theology.md | weapon=weapons-warfare.md
4,156,1,ikhlas-muawwidhat-finding,ikhlas-muawwidhat-finding=ikhlas-muawwidhat.md
4,157,7,divine-names;hapax;historical-details;iltifat;jesus-engagement;jinas;oath-cluster,"divine-names=1 name(s): Allah | hapax=lemma-hapax:$ub~iha (lemma=$ub~iha, root=$bh) | historical-details=historical-details.md | iltifat=intra-strict:two_verbs | jesus-engagement=jc-engagement.md"
4,158,2,divine-names;divine-names-topic,divine-names=1 name(s): Allah | divine-names-topic=divine-names-distribution.md
4,159,1,jesus-engagement,jesus-engagement=jc-engagement.md
4,160,2,divine-names;iltifat,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs
4,161,2,iltifat;oath-cluster,iltifat=intra-strict:two_verbs | oath-cluster=waw:other | other
4,162,7,divine-names;hapax;iltifat;jinas;salah;yawm;zakat,"divine-names=2 name(s): al-Akhir|Allah | hapax=lemma-hapax:mu&otuwn (lemma=mu&otuwn, root=Aty) | iltifat=intra-strict:two_verbs | jinas=jinas-wordplay.md | salah=salah-theology.md"
4,163,4,animal;iltifat;jinas;scripture-ref,animal=quran-bestiary.md | iltifat=inter:3->1 | jinas=jinas-wordplay.md | scripture-ref=scripture-refs.md
4,164,3,divine-names;hapax;iltifat,"divine-names=1 name(s): Allah | hapax=lemma-hapax:takoliym (lemma=takoliym, root=klm) | iltifat=intra-strict:two_verbs"
4,165,2,divine-names;iltifat,divine-names=1 name(s): Allah | iltifat=inter:1->3
4,166,2,divine-names;jinas,divine-names=1 name(s): Allah | jinas=jinas-wordplay.md
4,167,1,divine-names,divine-names=1 name(s): Allah
4,168,1,divine-names,divine-names=1 name(s): Allah
4,169,1,divine-names,divine-names=1 name(s): Allah
4,170,7,divine-names;ethical-universalism;iltifat;imperative;numerical-coincidence;vocative;vocative-topic,divine-names=2 name(s): al-Haqq|Allah | ethical-universalism=ethical-universalism.md | iltifat=intra-strict:two_verbs; inter:3->2 | imperative='aAmana | numerical-coincidence=numerical-coincidences.md
4,171,17,divine-names;dual-form;iltifat;imperative;innama;innama-topic;jesus-engagement;jinas;kinship;muhkam-mutashabih;numerical-coincidence;prohibitive;prophet-pericope;quotation;tawhid;vocative;vocative-topic,divine-names=2 name(s): al-Haqq|Allah | dual-form=tagoluw | iltifat=intra-strict:two_verbs | imperative='aAmana | innama=count=2
4,172,3,divine-names;iltifat;jinas,divine-names=1 name(s): Allah | iltifat=inter:2->3 | jinas=jinas-wordplay.md
4,173,1,divine-names,divine-names=1 name(s): Allah
4,174,4,ethical-universalism;iltifat;self-reference;vocative,ethical-universalism=ethical-universalism.md | iltifat=intra-strict:two_verbs; inter:3->2 | self-reference=quranic-self-reference.md | vocative=O_people
4,175,3,divine-names;iltifat;intra-xref,divine-names=1 name(s): Allah | iltifat=inter:2->3 | intra-xref=intra-quranic-cross-references.md
4,176,15,asbab-nuzul;divine-names;dual-form;dual-form-topic;famous-number;hapax;iltifat;imperative;jinas;kinship;muhkam-mutashabih;numerical-coincidence;parable;qul-say-opener;quotation,asbab-nuzul=asbab-nuzul.md | divine-names=1 name(s): Allah | dual-form=kaAna | dual-form-topic=dual-form-mapping.md | famous-number=numbers-spelled.md
5,1,19,animal;body-part;covenant;divine-names;form-content-outlier;hajj;hapax;iltifat;iltifat-topic;imperative;imperative-topic;intra-xref;jinas;kahf-finding;muhkam-mutashabih;nafs-theology;numerical-sequence;vocative;vocative-topic,animal=quran-bestiary.md | body-part=body-parts.md | covenant=covenant-language.md | divine-names=1 name(s): Allah | form-content-outlier=form-meets-content-outliers.md
5,2,18,animal;divine-names;fatiha-finding;hajj;hapax;iltifat;imperative;jinas;kahf-finding;nafs-theology;numerical-sequence;palindrome;phonaesthetic;prohibitive;quotation-topic;sacred-geo;sacrifice-vow;vocative,"animal=quran-bestiary.md | divine-names=1 name(s): Allah | fatiha-finding=al-fatiha-deep-dive.md | hajj=hajj-theology.md | hapax=lemma-hapax:A^m~iyn (lemma=A^m~iyn, root=Amm)"
5,3,21,animal;body-part;cross-textual;deep-hypothesis;divine-names;divine-names-topic;embryology-audit;emotion;hajj;hapax;hapax-topic;iltifat;imperative;jinas;paired-opposite;phonaesthetic;prohibitive;sacrifice-vow;saj-rhyme;surah-ending;zipf,animal=quran-bestiary.md | body-part=body-parts.md | cross-textual=cross-textual-baseline.md | deep-hypothesis=deep-hypotheses-queue.md | divine-names=1 name(s): Allah
5,4,17,animal;asbab-nuzul;cross-textual;divine-names;hapax;ilm-al-harf;iltifat;imperative;imperative-topic;jinas;kahf-finding;phonaesthetic;qul-say-opener;quotation;rhetorical-question;saj-rhyme;yawm,"animal=quran-bestiary.md | asbab-nuzul=asbab-nuzul.md | cross-textual=cross-textual-baseline.md | divine-names=1 name(s): Allah | hapax=lemma-hapax:jawaAriH (lemma=jawaAriH, root=jrH)"
5,5,3,iltifat;jinas;quotation-topic,iltifat=intra-strict:two_verbs; inter:2->3 | jinas=jinas-wordplay.md | quotation-topic=quotation-analysis.md
5,6,15,body-part;cross-textual;divine-names;divine-names-topic;dual-form;dual-form-topic;form-content-outlier;graph-theory;hapax;iltifat;imperative;numerical-coincidence;sensory;vocative;water,body-part=body-parts.md | cross-textual=cross-textual-baseline.md | divine-names=1 name(s): Allah | divine-names-topic=divine-names-distribution.md | dual-form=kaEobayon
5,7,9,covenant;divine-names;hapax;iltifat;imperative;jinas;qalb-theology;quotation;vocative-topic,"covenant=covenant-language.md | divine-names=1 name(s): Allah | hapax=lemma-hapax:waAvaqa (lemma=waAvaqa, root=wvq) | iltifat=intra-strict:two_verbs | imperative=*akara"
